Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manama,PM2.5 - Principal,2017-02-01 01:00 AM,2017,02,01,01,35.0,99,Moderate,36.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 02:00 AM,2017,02,01,02,35.0,99,Moderate,35.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 03:00 AM,2017,02,01,03,38.5,108,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 04:00 AM,2017,02,01,04,40.7,114,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 05:00 AM,2017,02,01,05,45.7,126,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 06:00 AM,2017,02,01,06,47.7,131,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 07:00 AM,2017,02,01,07,44.6,123,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 08:00 AM,2017,02,01,08,44.8,124,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 09:00 AM,2017,02,01,09,46.6,128,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 10:00 AM,2017,02,01,10,43.0,119,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 11:00 AM,2017,02,01,11,44.7,124,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 12:00 PM,2017,02,01,12,107.0,178,Unhealthy,169.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 01:00 PM,2017,02,01,13,155.0,205,Very Unhealthy,203.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 02:00 PM,2017,02,01,14,156.5,207,Very Unhealthy,158.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 03:00 PM,2017,02,01,15,141.7,196,Unhealthy,127.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 04:00 PM,2017,02,01,16,129.8,189,Unhealthy,118.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 05:00 PM,2017,02,01,17,107.4,178,Unhealthy,85.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-02-01 06:00 PM,2017,02,01,18,89.7,169,Unhealthy,72.0,UG/M3,1 Hr,Valid
