Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manama,O3,2019-12-01 01:00 AM,2019,12,01,01,2.0,2,Good,1.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 02:00 AM,2019,12,01,02,3.0,3,Good,1.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 03:00 AM,2019,12,01,03,2.0,2,Good,1.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 04:00 AM,2019,12,01,04,3.0,3,Good,2.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 05:00 AM,2019,12,01,05,3.0,3,Good,1.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 06:00 AM,2019,12,01,06,1.0,1,Good,1.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 07:00 AM,2019,12,01,07,7.0,6,Good,1.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 08:00 AM,2019,12,01,08,10.0,9,Good,4.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 09:00 AM,2019,12,01,09,13.0,12,Good,10.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 10:00 AM,2019,12,01,10,16.0,15,Good,20.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 11:00 AM,2019,12,01,11,23.0,21,Good,32.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 12:00 PM,2019,12,01,12,35.0,32,Good,45.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 01:00 PM,2019,12,01,13,39.0,36,Good,45.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 02:00 PM,2019,12,01,14,42.0,39,Good,49.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 03:00 PM,2019,12,01,15,44.0,41,Good,50.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 04:00 PM,2019,12,01,16,40.0,37,Good,49.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 05:00 PM,2019,12,01,17,39.0,36,Good,45.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 06:00 PM,2019,12,01,18,39.0,36,Good,45.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 07:00 PM,2019,12,01,19,41.0,38,Good,47.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 08:00 PM,2019,12,01,20,35.0,32,Good,31.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 09:00 PM,2019,12,01,21,30.0,28,Good,20.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 10:00 PM,2019,12,01,22,26.0,24,Good,18.0,PPB,1 Hr,Valid
Manama,O3,2019-12-01 11:00 PM,2019,12,01,23,17.0,16,Good,13.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 12:00 AM,2019,12,02,00,10.0,9,Good,10.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 01:00 AM,2019,12,02,01,6.0,6,Good,6.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 02:00 AM,2019,12,02,02,7.0,6,Good,10.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 03:00 AM,2019,12,02,03,12.0,11,Good,23.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 04:00 AM,2019,12,02,04,15.0,14,Good,24.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 05:00 AM,2019,12,02,05,25.0,23,Good,36.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 06:00 AM,2019,12,02,06,18.0,17,Good,17.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 07:00 AM,2019,12,02,07,14.0,13,Good,5.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 08:00 AM,2019,12,02,08,24.0,22,Good,17.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 09:00 AM,2019,12,02,09,30.0,28,Good,24.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 10:00 AM,2019,12,02,10,22.0,20,Good,19.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 11:00 AM,2019,12,02,11,20.0,19,Good,20.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 12:00 PM,2019,12,02,12,28.0,26,Good,32.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 01:00 PM,2019,12,02,13,34.0,31,Good,42.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 02:00 PM,2019,12,02,14,35.0,32,Good,42.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 03:00 PM,2019,12,02,15,32.0,30,Good,35.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 04:00 PM,2019,12,02,16,27.0,25,Good,25.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 05:00 PM,2019,12,02,17,21.0,19,Good,14.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 06:00 PM,2019,12,02,18,13.0,12,Good,5.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 07:00 PM,2019,12,02,19,15.0,14,Good,12.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 08:00 PM,2019,12,02,20,8.0,7,Good,8.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 09:00 PM,2019,12,02,21,11.0,10,Good,15.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 10:00 PM,2019,12,02,22,12.0,11,Good,17.0,PPB,1 Hr,Valid
Manama,O3,2019-12-02 11:00 PM,2019,12,02,23,15.0,14,Good,16.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 12:00 AM,2019,12,03,00,18.0,17,Good,22.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 01:00 AM,2019,12,03,01,19.0,18,Good,20.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 02:00 AM,2019,12,03,02,13.0,12,Good,13.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 03:00 AM,2019,12,03,03,15.0,14,Good,13.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 04:00 AM,2019,12,03,04,18.0,17,Good,21.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 05:00 AM,2019,12,03,05,16.0,15,Good,20.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 06:00 AM,2019,12,03,06,11.0,10,Good,12.0,PPB,1 Hr,Valid
Manama,O3,2019-12-03 07:00 AM,2019,12,03,07,9.0,8,Good,4.0,PPB,1 Hr,Valid
