Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manama,O3,2020-01-01 01:00 AM,2020,01,01,01,9.0,8,Good,7.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 02:00 AM,2020,01,01,02,8.0,7,Good,8.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 03:00 AM,2020,01,01,03,12.0,11,Good,16.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 04:00 AM,2020,01,01,04,22.0,20,Good,36.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 05:00 AM,2020,01,01,05,24.0,22,Good,39.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 06:00 AM,2020,01,01,06,28.0,26,Good,40.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 07:00 AM,2020,01,01,07,28.0,26,Good,-999.0,PPB,1 Hr,Missing
Manama,O3,2020-01-01 08:00 AM,2020,01,01,08,42.0,39,Good,38.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 09:00 AM,2020,01,01,09,41.0,38,Good,42.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 10:00 AM,2020,01,01,10,39.0,36,Good,43.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 11:00 AM,2020,01,01,11,41.0,38,Good,42.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 12:00 PM,2020,01,01,12,43.0,40,Good,45.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 01:00 PM,2020,01,01,13,41.0,38,Good,49.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 02:00 PM,2020,01,01,14,39.0,36,Good,52.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 03:00 PM,2020,01,01,15,41.0,38,Good,54.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 04:00 PM,2020,01,01,16,42.0,39,Good,53.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 05:00 PM,2020,01,01,17,40.0,37,Good,49.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 06:00 PM,2020,01,01,18,41.0,38,Good,47.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 07:00 PM,2020,01,01,19,41.0,38,Good,43.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 08:00 PM,2020,01,01,20,41.0,38,Good,40.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 09:00 PM,2020,01,01,21,40.0,37,Good,40.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 10:00 PM,2020,01,01,22,38.0,35,Good,40.0,PPB,1 Hr,Valid
Manama,O3,2020-01-01 11:00 PM,2020,01,01,23,36.0,33,Good,38.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 12:00 AM,2020,01,02,00,38.0,35,Good,40.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 01:00 AM,2020,01,02,01,31.0,29,Good,25.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 02:00 AM,2020,01,02,02,33.0,31,Good,27.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 03:00 AM,2020,01,02,03,31.0,29,Good,24.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 04:00 AM,2020,01,02,04,29.0,27,Good,21.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 05:00 AM,2020,01,02,05,24.0,22,Good,20.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 06:00 AM,2020,01,02,06,21.0,19,Good,20.0,PPB,1 Hr,Valid
Manama,O3,2020-01-02 07:00 AM,2020,01,02,07,17.0,16,Good,12.0,PPB,1 Hr,Valid
