Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manila,PM2.5 - Principal,2023-11-01 01:00 AM,2023,11,01,01,9.3,39,Good,7.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 02:00 AM,2023,11,01,02,8.6,36,Good,7.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 03:00 AM,2023,11,01,03,7.8,33,Good,7.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 04:00 AM,2023,11,01,04,7.6,32,Good,7.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 05:00 AM,2023,11,01,05,7.6,32,Good,7.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 06:00 AM,2023,11,01,06,7.0,29,Good,6.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 07:00 AM,2023,11,01,07,7.4,31,Good,7.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 08:00 AM,2023,11,01,08,8.7,36,Good,10.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 09:00 AM,2023,11,01,09,9.3,39,Good,9.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 10:00 AM,2023,11,01,10,9.4,39,Good,10.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 11:00 AM,2023,11,01,11,9.5,40,Good,10.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 12:00 PM,2023,11,01,12,12.6,52,Moderate,15.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 01:00 PM,2023,11,01,13,15.7,59,Moderate,18.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 02:00 PM,2023,11,01,14,15.8,59,Moderate,15.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 03:00 PM,2023,11,01,15,18.8,65,Moderate,21.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 04:00 PM,2023,11,01,16,13.9,55,Moderate,9.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 05:00 PM,2023,11,01,17,11.7,49,Good,9.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 06:00 PM,2023,11,01,18,10.2,43,Good,8.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 07:00 PM,2023,11,01,19,10.8,45,Good,11.3,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 08:00 PM,2023,11,01,20,11.5,48,Good,12.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 09:00 PM,2023,11,01,21,14.8,57,Moderate,18.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 10:00 PM,2023,11,01,22,17.4,62,Moderate,20.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-01 11:00 PM,2023,11,01,23,16.7,61,Moderate,16.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 12:00 AM,2023,11,02,00,16.1,59,Moderate,15.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 01:00 AM,2023,11,02,01,15.2,58,Moderate,14.3,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 02:00 AM,2023,11,02,02,14.9,57,Moderate,14.6,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 03:00 AM,2023,11,02,03,15.5,58,Moderate,16.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 04:00 AM,2023,11,02,04,16.1,59,Moderate,16.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 05:00 AM,2023,11,02,05,17.4,62,Moderate,18.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 06:00 AM,2023,11,02,06,18.3,64,Moderate,19.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 07:00 AM,2023,11,02,07,19.4,66,Moderate,21.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 08:00 AM,2023,11,02,08,20.1,68,Moderate,22.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 09:00 AM,2023,11,02,09,19.0,66,Moderate,17.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 10:00 AM,2023,11,02,10,17.8,63,Moderate,15.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 11:00 AM,2023,11,02,11,17.0,61,Moderate,15.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 12:00 PM,2023,11,02,12,15.9,59,Moderate,13.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 01:00 PM,2023,11,02,13,15.6,58,Moderate,15.3,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2023-11-02 02:00 PM,2023,11,02,14,15.4,58,Moderate,15.1,UG/M3,1 Hr,Valid
