Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manila,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,102.1,184,Unhealthy,177.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,117.3,194,Unhealthy,132.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,121.3,197,Unhealthy,125.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,91.7,176,Unhealthy,62.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,59.8,154,Unhealthy,27.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,54.2,147,Unhealthy for Sensitive Groups,48.6,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,94.4,178,Unhealthy,134.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,123.6,199,Unhealthy,152.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,90.4,175,Unhealthy,57.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,70.9,162,Unhealthy,51.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,72.7,163,Unhealthy,74.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,57.7,153,Unhealthy,42.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,52.0,142,Unhealthy for Sensitive Groups,46.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,40.2,113,Unhealthy for Sensitive Groups,28.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,28.7,88,Moderate,17.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,16.8,65,Moderate,4.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,11.6,56,Moderate,6.3,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,9.9,52,Moderate,8.3,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,11.2,55,Moderate,12.6,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,12.1,57,Moderate,13.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,12.7,58,Moderate,13.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,9.7,52,Moderate,6.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,7.1,39,Good,4.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,6.3,35,Good,5.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,6.4,36,Good,6.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,5.6,31,Good,4.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,5.3,29,Good,5.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,5.2,29,Good,5.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 05:00 AM,2024,01,02,05,6.1,34,Good,6.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 06:00 AM,2024,01,02,06,7.8,43,Good,9.6,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 07:00 AM,2024,01,02,07,10.3,53,Moderate,12.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 08:00 AM,2024,01,02,08,13.7,60,Moderate,17.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 09:00 AM,2024,01,02,09,12.2,57,Moderate,10.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 10:00 AM,2024,01,02,10,13.1,58,Moderate,14.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 11:00 AM,2024,01,02,11,13.6,59,Moderate,14.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 12:00 PM,2024,01,02,12,13.1,58,Moderate,12.6,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 01:00 PM,2024,01,02,13,11.5,55,Moderate,9.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 02:00 PM,2024,01,02,14,8.1,45,Good,4.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 03:00 PM,2024,01,02,15,7.4,41,Good,6.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 04:00 PM,2024,01,02,16,8.2,46,Good,9.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 05:00 PM,2024,01,02,17,7.8,43,Good,7.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 06:00 PM,2024,01,02,18,8.1,45,Good,8.5,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 07:00 PM,2024,01,02,19,11.3,55,Moderate,14.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 08:00 PM,2024,01,02,20,14.8,62,Moderate,18.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 09:00 PM,2024,01,02,21,15.6,63,Moderate,16.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 10:00 PM,2024,01,02,22,11.9,56,Moderate,8.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-02 11:00 PM,2024,01,02,23,9.1,51,Moderate,6.2,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 12:00 AM,2024,01,03,00,7.6,42,Good,6.1,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 01:00 AM,2024,01,03,01,6.3,35,Good,4.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 02:00 AM,2024,01,03,02,6.1,34,Good,6.0,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 03:00 AM,2024,01,03,03,9.0,50,Good,11.9,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 04:00 AM,2024,01,03,04,9.9,52,Moderate,10.8,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 05:00 AM,2024,01,03,05,13.3,59,Moderate,16.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 06:00 AM,2024,01,03,06,14.8,62,Moderate,16.4,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 07:00 AM,2024,01,03,07,12.8,58,Moderate,10.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 08:00 AM,2024,01,03,08,11.7,56,Moderate,10.6,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 09:00 AM,2024,01,03,09,12.0,56,Moderate,12.3,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 10:00 AM,2024,01,03,10,13.8,60,Moderate,15.7,UG/M3,1 Hr,Valid
Manila,PM2.5 - Principal,2024-01-03 11:00 AM,2024,01,03,11,16.9,66,Moderate,20.0,UG/M3,1 Hr,Valid
