Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Maputo,O3,2024-12-01 01:00 AM,2024,12,01,01,16.0,15,Good,14.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 02:00 AM,2024,12,01,02,13.0,12,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 03:00 AM,2024,12,01,03,11.0,10,Good,7.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 04:00 AM,2024,12,01,04,9.0,8,Good,3.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 05:00 AM,2024,12,01,05,9.0,8,Good,-999.0,PPB,1 Hr,Missing
Maputo,O3,2024-12-01 06:00 AM,2024,12,01,06,12.0,11,Good,10.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 07:00 AM,2024,12,01,07,15.0,14,Good,17.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 08:00 AM,2024,12,01,08,19.0,18,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 09:00 AM,2024,12,01,09,23.0,21,Good,24.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 10:00 AM,2024,12,01,10,23.0,21,Good,-999.0,PPB,1 Hr,Missing
Maputo,O3,2024-12-01 11:00 AM,2024,12,01,11,17.0,16,Good,5.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 12:00 PM,2024,12,01,12,23.0,21,Good,27.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 01:00 PM,2024,12,01,13,21.0,19,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 02:00 PM,2024,12,01,14,23.0,21,Good,27.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 03:00 PM,2024,12,01,15,22.0,20,Good,29.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 04:00 PM,2024,12,01,16,25.0,23,Good,30.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 05:00 PM,2024,12,01,17,25.0,23,Good,21.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 06:00 PM,2024,12,01,18,24.0,22,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 07:00 PM,2024,12,01,19,24.0,22,Good,24.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 08:00 PM,2024,12,01,20,24.0,22,Good,-999.0,PPB,1 Hr,Missing
Maputo,O3,2024-12-01 09:00 PM,2024,12,01,21,19.0,18,Good,25.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 10:00 PM,2024,12,01,22,22.0,20,Good,25.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-01 11:00 PM,2024,12,01,23,23.0,21,Good,27.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 12:00 AM,2024,12,02,00,23.0,21,Good,23.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 01:00 AM,2024,12,02,01,23.0,21,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 02:00 AM,2024,12,02,02,22.0,20,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 03:00 AM,2024,12,02,03,21.0,19,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 04:00 AM,2024,12,02,04,19.0,18,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 05:00 AM,2024,12,02,05,18.0,17,Good,17.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 06:00 AM,2024,12,02,06,18.0,17,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 07:00 AM,2024,12,02,07,18.0,17,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 08:00 AM,2024,12,02,08,18.0,17,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 09:00 AM,2024,12,02,09,19.0,18,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 10:00 AM,2024,12,02,10,23.0,21,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 11:00 AM,2024,12,02,11,25.0,23,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 12:00 PM,2024,12,02,12,24.0,22,Good,23.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 01:00 PM,2024,12,02,13,24.0,22,Good,25.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 02:00 PM,2024,12,02,14,23.0,21,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 03:00 PM,2024,12,02,15,22.0,20,Good,28.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 04:00 PM,2024,12,02,16,23.0,21,Good,28.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 05:00 PM,2024,12,02,17,23.0,21,Good,17.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 06:00 PM,2024,12,02,18,22.0,20,Good,10.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 07:00 PM,2024,12,02,19,20.0,19,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 08:00 PM,2024,12,02,20,19.0,18,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 09:00 PM,2024,12,02,21,18.0,17,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 10:00 PM,2024,12,02,22,19.0,18,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-02 11:00 PM,2024,12,02,23,19.0,18,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 12:00 AM,2024,12,03,00,19.0,18,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 01:00 AM,2024,12,03,01,18.0,17,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 02:00 AM,2024,12,03,02,17.0,16,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 03:00 AM,2024,12,03,03,18.0,17,Good,21.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 04:00 AM,2024,12,03,04,17.0,16,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 05:00 AM,2024,12,03,05,15.0,14,Good,5.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 06:00 AM,2024,12,03,06,15.0,14,Good,3.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 07:00 AM,2024,12,03,07,14.0,13,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 08:00 AM,2024,12,03,08,14.0,13,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 09:00 AM,2024,12,03,09,16.0,15,Good,23.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 10:00 AM,2024,12,03,10,19.0,18,Good,27.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 11:00 AM,2024,12,03,11,24.0,22,Good,29.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 12:00 PM,2024,12,03,12,26.0,24,Good,32.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 01:00 PM,2024,12,03,13,28.0,26,Good,33.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 02:00 PM,2024,12,03,14,27.0,25,Good,28.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 03:00 PM,2024,12,03,15,27.0,25,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 04:00 PM,2024,12,03,16,26.0,24,Good,24.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 05:00 PM,2024,12,03,17,26.0,24,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 06:00 PM,2024,12,03,18,23.0,21,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 07:00 PM,2024,12,03,19,22.0,20,Good,24.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 08:00 PM,2024,12,03,20,20.0,19,Good,23.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 09:00 PM,2024,12,03,21,18.0,17,Good,21.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 10:00 PM,2024,12,03,22,19.0,18,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-03 11:00 PM,2024,12,03,23,20.0,19,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 12:00 AM,2024,12,04,00,20.0,19,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 01:00 AM,2024,12,04,01,19.0,18,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 02:00 AM,2024,12,04,02,17.0,16,Good,13.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 03:00 AM,2024,12,04,03,14.0,13,Good,10.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 04:00 AM,2024,12,04,04,14.0,13,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 05:00 AM,2024,12,04,05,14.0,13,Good,-999.0,PPB,1 Hr,Missing
Maputo,O3,2024-12-04 06:00 AM,2024,12,04,06,13.0,12,Good,6.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 07:00 AM,2024,12,04,07,13.0,12,Good,8.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 08:00 AM,2024,12,04,08,14.0,13,Good,14.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 09:00 AM,2024,12,04,09,17.0,16,Good,21.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 10:00 AM,2024,12,04,10,20.0,19,Good,30.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 11:00 AM,2024,12,04,11,25.0,23,Good,32.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 12:00 PM,2024,12,04,12,28.0,26,Good,40.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 01:00 PM,2024,12,04,13,33.0,31,Good,45.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 02:00 PM,2024,12,04,14,35.0,32,Good,43.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 03:00 PM,2024,12,04,15,34.0,31,Good,39.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 04:00 PM,2024,12,04,16,33.0,31,Good,36.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 05:00 PM,2024,12,04,17,30.0,28,Good,24.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 06:00 PM,2024,12,04,18,29.0,27,Good,13.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 07:00 PM,2024,12,04,19,27.0,25,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 08:00 PM,2024,12,04,20,23.0,21,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 09:00 PM,2024,12,04,21,19.0,18,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 10:00 PM,2024,12,04,22,16.0,15,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-04 11:00 PM,2024,12,04,23,16.0,15,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 12:00 AM,2024,12,05,00,15.0,14,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 01:00 AM,2024,12,05,01,13.0,12,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 02:00 AM,2024,12,05,02,12.0,11,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 03:00 AM,2024,12,05,03,10.0,9,Good,8.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 04:00 AM,2024,12,05,04,11.0,10,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 05:00 AM,2024,12,05,05,12.0,11,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 06:00 AM,2024,12,05,06,12.0,11,Good,6.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 07:00 AM,2024,12,05,07,12.0,11,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 08:00 AM,2024,12,05,08,14.0,13,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 09:00 AM,2024,12,05,09,18.0,17,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 10:00 AM,2024,12,05,10,23.0,21,Good,29.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 11:00 AM,2024,12,05,11,27.0,25,Good,29.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 12:00 PM,2024,12,05,12,30.0,28,Good,31.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 01:00 PM,2024,12,05,13,31.0,29,Good,33.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 02:00 PM,2024,12,05,14,29.0,27,Good,33.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 03:00 PM,2024,12,05,15,27.0,25,Good,36.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 04:00 PM,2024,12,05,16,25.0,23,Good,30.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 05:00 PM,2024,12,05,17,24.0,22,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 06:00 PM,2024,12,05,18,23.0,21,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 07:00 PM,2024,12,05,19,22.0,20,Good,24.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 08:00 PM,2024,12,05,20,22.0,20,Good,-999.0,PPB,1 Hr,Missing
Maputo,O3,2024-12-05 09:00 PM,2024,12,05,21,22.0,20,Good,-999.0,PPB,1 Hr,Missing
Maputo,O3,2024-12-05 10:00 PM,2024,12,05,22,23.0,21,Good,27.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-05 11:00 PM,2024,12,05,23,26.0,24,Good,30.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 12:00 AM,2024,12,06,00,29.0,27,Good,40.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 01:00 AM,2024,12,06,01,29.0,27,Good,40.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 02:00 AM,2024,12,06,02,28.0,26,Good,32.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 03:00 AM,2024,12,06,03,27.0,25,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 04:00 AM,2024,12,06,04,26.0,24,Good,23.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 05:00 AM,2024,12,06,05,25.0,23,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 06:00 AM,2024,12,06,06,24.0,22,Good,21.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 07:00 AM,2024,12,06,07,21.0,19,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 08:00 AM,2024,12,06,08,20.0,19,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 09:00 AM,2024,12,06,09,22.0,20,Good,23.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 10:00 AM,2024,12,06,10,22.0,20,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 11:00 AM,2024,12,06,11,25.0,23,Good,30.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 12:00 PM,2024,12,06,12,27.0,25,Good,33.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 01:00 PM,2024,12,06,13,29.0,27,Good,33.0,PPB,1 Hr,Valid
Maputo,O3,2024-12-06 02:00 PM,2024,12,06,14,29.0,27,Good,31.0,PPB,1 Hr,Valid
