Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Maputo,PM2.5 - Principal,2024-03-01 01:00 AM,2024,03,01,01,4.8,20,Good,4.5,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 02:00 AM,2024,03,01,02,8.0,33,Good,11.3,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 03:00 AM,2024,03,01,03,11.8,49,Good,15.7,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 04:00 AM,2024,03,01,04,10.3,43,Good,8.8,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 05:00 AM,2024,03,01,05,9.3,39,Good,8.4,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 06:00 AM,2024,03,01,06,10.7,45,Good,12.2,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 07:00 AM,2024,03,01,07,16.2,60,Moderate,21.8,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 08:00 AM,2024,03,01,08,16.1,59,Moderate,16.1,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 09:00 AM,2024,03,01,09,12.5,52,Moderate,9.0,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 10:00 AM,2024,03,01,10,9.2,38,Good,6.0,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 11:00 AM,2024,03,01,11,6.7,28,Good,4.2,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 12:00 PM,2024,03,01,12,5.1,21,Good,3.5,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 01:00 PM,2024,03,01,13,4.7,20,Good,4.3,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 02:00 PM,2024,03,01,14,4.8,20,Good,4.9,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 03:00 PM,2024,03,01,15,5.3,22,Good,5.9,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 04:00 PM,2024,03,01,16,5.3,22,Good,5.3,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 05:00 PM,2024,03,01,17,5.3,22,Good,5.3,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 06:00 PM,2024,03,01,18,5.6,23,Good,6.0,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 07:00 PM,2024,03,01,19,11.5,48,Good,17.4,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 08:00 PM,2024,03,01,20,8.1,34,Good,4.8,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 09:00 PM,2024,03,01,21,6.7,28,Good,5.4,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 10:00 PM,2024,03,01,22,5.4,23,Good,4.1,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-01 11:00 PM,2024,03,01,23,5.0,21,Good,4.7,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 12:00 AM,2024,03,02,00,7.6,32,Good,10.2,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 01:00 AM,2024,03,02,01,13.3,54,Moderate,19.0,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 02:00 AM,2024,03,02,02,24.4,77,Moderate,35.5,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 03:00 AM,2024,03,02,03,20.7,69,Moderate,17.0,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 04:00 AM,2024,03,02,04,14.5,56,Moderate,8.4,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 05:00 AM,2024,03,02,05,10.8,45,Good,7.1,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 06:00 AM,2024,03,02,06,8.8,37,Good,6.9,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 07:00 AM,2024,03,02,07,30.1,89,Moderate,51.4,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 08:00 AM,2024,03,02,08,27.1,83,Moderate,24.1,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 09:00 AM,2024,03,02,09,21.9,72,Moderate,16.8,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 10:00 AM,2024,03,02,10,18.7,65,Moderate,15.6,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 11:00 AM,2024,03,02,11,16.3,60,Moderate,14.0,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 12:00 PM,2024,03,02,12,12.5,52,Moderate,8.7,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 01:00 PM,2024,03,02,13,9.7,40,Good,6.9,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 02:00 PM,2024,03,02,14,7.9,33,Good,6.2,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 03:00 PM,2024,03,02,15,6.7,28,Good,5.6,UG/M3,1 Hr,Valid
Maputo,PM2.5 - Principal,2024-03-02 04:00 PM,2024,03,02,16,6.2,26,Good,5.7,UG/M3,1 Hr,Valid
