Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
Mumbai,PM2.5 - Principal,2016-11-01 01:00 AM,2016,11,01,01,412.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 02:00 AM,2016,11,01,02,205.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 03:00 AM,2016,11,01,03,86.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 04:00 AM,2016,11,01,04,61.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 05:00 AM,2016,11,01,05,62.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 06:00 AM,2016,11,01,06,62.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 07:00 AM,2016,11,01,07,74.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 08:00 AM,2016,11,01,08,81.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 09:00 AM,2016,11,01,09,81.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 10:00 AM,2016,11,01,10,69.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 11:00 AM,2016,11,01,11,68.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 12:00 PM,2016,11,01,12,57.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 01:00 PM,2016,11,01,13,57.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 02:00 PM,2016,11,01,14,49.0,,,,,,,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-11-01 03:00 PM,2016,11,01,15,-999.0,,,,,,,UG/M3,1 Hr,Missing
Mumbai,PM2.5 - Principal,2016-11-01 04:00 PM,2016,11,01,16,-999.0,,,,,,,UG/M3,1 Hr,Missing
Mumbai,PM2.5 - Principal,2016-11-01 05:00 PM,2016,11,01,17,32.0,,,,,,,UG/M3,1 Hr,Valid
