Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Mumbai,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,238,5,187.7,226.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,238,5,187.4,260.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,237,5,187.2,266.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,235,5,184.4,280.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,231,5,181.0,280.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,229,5,178.7,277.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,227,5,176.9,254.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,226,5,175.6,254.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,226,5,175.5,219.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,226,5,175.7,218.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,227,5,176.9,169.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,229,5,178.7,143.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,230,5,180.0,136.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,229,5,179.1,136.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,228,5,177.3,90.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,228,5,178.1,74.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,229,5,178.3,77.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,234,5,184.1,89.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,240,5,190.1,96.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,245,5,194.4,112.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,244,5,193.7,125.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,244,5,194.3,155.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,244,5,193.4,181.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,243,5,192.8,204.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,242,5,191.9,204.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,240,5,189.9,217.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,237,5,187.1,285.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,237,5,187.2,285.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,238,5,188.0,420.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,239,5,188.6,420.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,239,5,188.7,357.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,240,5,189.8,238.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,240,5,190.2,234.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,240,5,189.6,196.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,238,5,188.3,155.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,236,5,186.3,121.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,234,5,184.0,87.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,234,5,183.7,70.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,234,5,183.5,93.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,231,5,180.4,93.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,225,5,175.2,90.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,215,5,164.3,91.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,202,5,151.6,123.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,195,4,141.0,123.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 09:00 PM,2017,01,02,21,192,4,135.3,109.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 10:00 PM,2017,01,02,22,190,4,130.1,125.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-02 11:00 PM,2017,01,02,23,188,4,126.5,132.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 12:00 AM,2017,01,03,00,186,4,123.4,150.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 01:00 AM,2017,01,03,01,185,4,121.2,197.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 02:00 AM,2017,01,03,02,185,4,121.1,211.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 03:00 AM,2017,01,03,03,185,4,121.6,211.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 04:00 AM,2017,01,03,04,185,4,121.2,161.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 05:00 AM,2017,01,03,05,185,4,120.5,158.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 06:00 AM,2017,01,03,06,184,4,119.8,115.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 07:00 AM,2017,01,03,07,184,4,119.0,102.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 08:00 AM,2017,01,03,08,183,4,116.8,101.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 09:00 AM,2017,01,03,09,182,4,115.1,110.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 10:00 AM,2017,01,03,10,181,4,114.5,110.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 11:00 AM,2017,01,03,11,181,4,113.6,80.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 12:00 PM,2017,01,03,12,181,4,112.7,69.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 01:00 PM,2017,01,03,13,181,4,113.2,83.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 02:00 PM,2017,01,03,14,181,4,112.7,83.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 03:00 PM,2017,01,03,15,180,4,111.7,83.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 04:00 PM,2017,01,03,16,182,4,115.0,77.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 05:00 PM,2017,01,03,17,184,4,120.2,73.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 06:00 PM,2017,01,03,18,184,4,120.1,71.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 07:00 PM,2017,01,03,19,184,4,120.1,71.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 08:00 PM,2017,01,03,20,184,4,120.2,82.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 09:00 PM,2017,01,03,21,184,4,120.0,95.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 10:00 PM,2017,01,03,22,184,4,120.1,102.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-03 11:00 PM,2017,01,03,23,184,4,120.1,112.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 12:00 AM,2017,01,04,00,185,4,121.4,161.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 01:00 AM,2017,01,04,01,186,4,122.5,185.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 02:00 AM,2017,01,04,02,185,4,121.5,188.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 03:00 AM,2017,01,04,03,185,4,120.6,288.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 04:00 AM,2017,01,04,04,185,4,121.3,288.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 05:00 AM,2017,01,04,05,186,4,123.3,154.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 06:00 AM,2017,01,04,06,187,4,124.7,116.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 07:00 AM,2017,01,04,07,187,4,125.3,103.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 08:00 AM,2017,01,04,08,188,4,127.3,98.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 09:00 AM,2017,01,04,09,189,4,129.6,111.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 10:00 AM,2017,01,04,10,190,4,131.2,111.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 11:00 AM,2017,01,04,11,191,4,132.3,110.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 12:00 PM,2017,01,04,12,191,4,133.2,97.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 01:00 PM,2017,01,04,13,189,4,129.9,59.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 02:00 PM,2017,01,04,14,188,4,126.4,60.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 03:00 PM,2017,01,04,15,187,4,124.6,101.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 04:00 PM,2017,01,04,16,184,4,119.0,-999.0,UG/M3,1 Hr,Missing
Mumbai,PM2.5 - Principal,2017-01-04 05:00 PM,2017,01,04,17,182,4,115.0,107.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 06:00 PM,2017,01,04,18,183,4,117.1,83.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 07:00 PM,2017,01,04,19,184,4,120.1,119.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 08:00 PM,2017,01,04,20,186,4,122.4,133.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 09:00 PM,2017,01,04,21,188,4,127.3,133.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 10:00 PM,2017,01,04,22,190,4,131.6,127.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-04 11:00 PM,2017,01,04,23,192,4,135.5,-999.0,UG/M3,1 Hr,Missing
Mumbai,PM2.5 - Principal,2017-01-05 12:00 AM,2017,01,05,00,194,4,138.5,87.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 01:00 AM,2017,01,05,01,194,4,138.7,109.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 02:00 AM,2017,01,05,02,196,4,141.7,149.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 03:00 AM,2017,01,05,03,197,4,144.7,164.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 04:00 AM,2017,01,05,04,197,4,144.9,200.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 05:00 AM,2017,01,05,05,196,4,142.2,200.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 06:00 AM,2017,01,05,06,195,4,140.5,182.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 07:00 AM,2017,01,05,07,195,4,140.3,153.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 08:00 AM,2017,01,05,08,194,4,138.6,206.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 09:00 AM,2017,01,05,09,193,4,136.4,206.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 10:00 AM,2017,01,05,10,192,4,134.3,197.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 11:00 AM,2017,01,05,11,191,4,133.4,176.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 12:00 PM,2017,01,05,12,191,4,133.6,101.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2017-01-05 01:00 PM,2017,01,05,13,193,4,136.2,126.0,UG/M3,1 Hr,Valid
