Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Mumbai,PM2.5 - Principal,2023-04-01 02:00 AM,2023,04,01,02,20.6,69,Moderate,22.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 03:00 AM,2023,04,01,03,22.6,73,Moderate,25.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 04:00 AM,2023,04,01,04,23.5,75,Moderate,25.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 05:00 AM,2023,04,01,05,23.5,75,Moderate,-999.0,UG/M3,1 Hr,Missing
Mumbai,PM2.5 - Principal,2023-04-01 06:00 AM,2023,04,01,06,30.6,90,Moderate,34.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 07:00 AM,2023,04,01,07,36.0,102,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 08:00 AM,2023,04,01,08,38.6,109,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 09:00 AM,2023,04,01,09,34.7,99,Moderate,31.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 10:00 AM,2023,04,01,10,31.3,91,Moderate,28.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 11:00 AM,2023,04,01,11,30.2,89,Moderate,29.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 12:00 PM,2023,04,01,12,26.1,80,Moderate,22.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 01:00 PM,2023,04,01,13,22.0,72,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 02:00 PM,2023,04,01,14,20.5,69,Moderate,19.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 03:00 PM,2023,04,01,15,19.2,66,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 04:00 PM,2023,04,01,16,17.6,63,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 05:00 PM,2023,04,01,17,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 06:00 PM,2023,04,01,18,17.6,63,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 07:00 PM,2023,04,01,19,18.3,64,Moderate,19.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 08:00 PM,2023,04,01,20,18.1,64,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 09:00 PM,2023,04,01,21,17.1,62,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 10:00 PM,2023,04,01,22,18.4,64,Moderate,20.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-01 11:00 PM,2023,04,01,23,17.5,62,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 12:00 AM,2023,04,02,00,18.4,64,Moderate,21.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 01:00 AM,2023,04,02,01,18.8,65,Moderate,20.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 02:00 AM,2023,04,02,02,17.8,63,Moderate,15.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 03:00 AM,2023,04,02,03,16.4,60,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 04:00 AM,2023,04,02,04,16.6,60,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 05:00 AM,2023,04,02,05,19.6,67,Moderate,24.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 06:00 AM,2023,04,02,06,33.0,95,Moderate,46.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 07:00 AM,2023,04,02,07,31.0,91,Moderate,29.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 08:00 AM,2023,04,02,08,35.0,99,Moderate,39.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 09:00 AM,2023,04,02,09,35.0,99,Moderate,35.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 10:00 AM,2023,04,02,10,31.5,92,Moderate,28.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 11:00 AM,2023,04,02,11,24.7,77,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 12:00 PM,2023,04,02,12,20.3,68,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 01:00 PM,2023,04,02,13,20.6,69,Moderate,21.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 02:00 PM,2023,04,02,14,15.3,58,Moderate,10.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 03:00 PM,2023,04,02,15,14.1,55,Moderate,13.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 04:00 PM,2023,04,02,16,13.0,53,Moderate,12.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 05:00 PM,2023,04,02,17,15.0,57,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 06:00 PM,2023,04,02,18,15.0,57,Moderate,15.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 07:00 PM,2023,04,02,19,14.5,56,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 08:00 PM,2023,04,02,20,12.7,52,Moderate,11.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 09:00 PM,2023,04,02,21,12.3,51,Moderate,12.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 10:00 PM,2023,04,02,22,12.1,51,Moderate,12.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-02 11:00 PM,2023,04,02,23,11.5,48,Good,11.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 12:00 AM,2023,04,03,00,11.2,47,Good,11.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 01:00 AM,2023,04,03,01,13.7,54,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 02:00 AM,2023,04,03,02,14.0,55,Moderate,15.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 03:00 AM,2023,04,03,03,14.3,56,Moderate,15.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 04:00 AM,2023,04,03,04,13.1,53,Moderate,11.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 05:00 AM,2023,04,03,05,13.4,54,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 06:00 AM,2023,04,03,06,18.7,65,Moderate,24.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 07:00 AM,2023,04,03,07,23.8,76,Moderate,29.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 08:00 AM,2023,04,03,08,27.9,84,Moderate,32.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 09:00 AM,2023,04,03,09,29.9,88,Moderate,32.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 10:00 AM,2023,04,03,10,28.4,85,Moderate,27.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 11:00 AM,2023,04,03,11,23.7,75,Moderate,19.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 12:00 PM,2023,04,03,12,23.3,75,Moderate,23.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 01:00 PM,2023,04,03,13,20.1,68,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 02:00 PM,2023,04,03,14,19.0,66,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 03:00 PM,2023,04,03,15,17.5,62,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 04:00 PM,2023,04,03,16,16.2,60,Moderate,15.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 05:00 PM,2023,04,03,17,16.6,60,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 06:00 PM,2023,04,03,18,14.3,56,Moderate,12.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 07:00 PM,2023,04,03,19,15.1,57,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 08:00 PM,2023,04,03,20,14.0,55,Moderate,13.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 09:00 PM,2023,04,03,21,13.5,54,Moderate,13.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 10:00 PM,2023,04,03,22,13.3,54,Moderate,13.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-03 11:00 PM,2023,04,03,23,13.6,54,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 12:00 AM,2023,04,04,00,13.8,55,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 01:00 AM,2023,04,04,01,13.8,55,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 02:00 AM,2023,04,04,02,13.3,54,Moderate,12.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 03:00 AM,2023,04,04,03,13.2,53,Moderate,13.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 04:00 AM,2023,04,04,04,14.3,56,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 05:00 AM,2023,04,04,05,14.3,56,Moderate,-999.0,UG/M3,1 Hr,Missing
Mumbai,PM2.5 - Principal,2023-04-04 06:00 AM,2023,04,04,06,21.6,71,Moderate,25.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 07:00 AM,2023,04,04,07,28.7,86,Moderate,34.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 08:00 AM,2023,04,04,08,32.0,93,Moderate,35.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 09:00 AM,2023,04,04,09,25.8,80,Moderate,20.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 10:00 AM,2023,04,04,10,21.8,71,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 11:00 AM,2023,04,04,11,19.4,66,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 12:00 PM,2023,04,04,12,19.7,67,Moderate,20.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 01:00 PM,2023,04,04,13,18.3,64,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 02:00 PM,2023,04,04,14,16.1,59,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 03:00 PM,2023,04,04,15,16.0,59,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 04:00 PM,2023,04,04,16,15.0,57,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 05:00 PM,2023,04,04,17,13.0,53,Moderate,11.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 06:00 PM,2023,04,04,18,14.0,55,Moderate,15.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 07:00 PM,2023,04,04,19,15.5,58,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 08:00 PM,2023,04,04,20,15.2,58,Moderate,15.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 09:00 PM,2023,04,04,21,14.6,56,Moderate,14.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 10:00 PM,2023,04,04,22,18.8,65,Moderate,23.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-04 11:00 PM,2023,04,04,23,19.4,66,Moderate,20.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-05 12:00 AM,2023,04,05,00,17.7,63,Moderate,16.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-05 01:00 AM,2023,04,05,01,17.8,63,Moderate,18.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-05 02:00 AM,2023,04,05,02,17.4,62,Moderate,17.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-05 03:00 AM,2023,04,05,03,19.7,67,Moderate,22.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-05 04:00 AM,2023,04,05,04,19.8,67,Moderate,20.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2023-04-05 05:00 AM,2023,04,05,05,25.4,79,Moderate,31.0,UG/M3,1 Hr,Valid
