Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
N'Djamena,PM2.5 - Principal,2023-10-01 01:00 AM,2023,10,01,01,15.0,57,Moderate,10.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 02:00 AM,2023,10,01,02,13.0,53,Moderate,11.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 03:00 AM,2023,10,01,03,11.0,46,Good,9.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 04:00 AM,2023,10,01,04,9.5,40,Good,8.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 05:00 AM,2023,10,01,05,12.2,51,Moderate,15.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 06:00 AM,2023,10,01,06,18.6,65,Moderate,25.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 07:00 AM,2023,10,01,07,22.3,72,Moderate,26.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 08:00 AM,2023,10,01,08,17.6,63,Moderate,13.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 09:00 AM,2023,10,01,09,17.8,63,Moderate,18.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 10:00 AM,2023,10,01,10,16.9,61,Moderate,16.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 11:00 AM,2023,10,01,11,19.4,66,Moderate,22.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 12:00 PM,2023,10,01,12,17.7,63,Moderate,16.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 01:00 PM,2023,10,01,13,14.3,56,Moderate,11.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 02:00 PM,2023,10,01,14,14.1,55,Moderate,14.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 03:00 PM,2023,10,01,15,13.5,54,Moderate,13.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 04:00 PM,2023,10,01,16,25.7,80,Moderate,38.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 05:00 PM,2023,10,01,17,18.8,65,Moderate,12.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 06:00 PM,2023,10,01,18,22.9,74,Moderate,27.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 07:00 PM,2023,10,01,19,42.9,119,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 08:00 PM,2023,10,01,20,53.9,146,Unhealthy for Sensitive Groups,65.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 09:00 PM,2023,10,01,21,36.4,103,Unhealthy for Sensitive Groups,19.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 10:00 PM,2023,10,01,22,28.7,86,Moderate,21.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-01 11:00 PM,2023,10,01,23,31.3,91,Moderate,34.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 12:00 AM,2023,10,02,00,24.1,76,Moderate,17.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 01:00 AM,2023,10,02,01,17.5,62,Moderate,11.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 02:00 AM,2023,10,02,02,13.2,53,Moderate,9.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 03:00 AM,2023,10,02,03,13.1,53,Moderate,13.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 04:00 AM,2023,10,02,04,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 05:00 AM,2023,10,02,05,11.2,47,Good,10.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 06:00 AM,2023,10,02,06,10.6,44,Good,10.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 07:00 AM,2023,10,02,07,17.3,62,Moderate,24.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 08:00 AM,2023,10,02,08,28.6,86,Moderate,40.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 09:00 AM,2023,10,02,09,37.8,107,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 10:00 AM,2023,10,02,10,44.9,124,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 11:00 AM,2023,10,02,11,56.4,151,Unhealthy,68.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 12:00 PM,2023,10,02,12,104.7,176,Unhealthy,153.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 01:00 PM,2023,10,02,13,199.4,249,Very Unhealthy,294.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 02:00 PM,2023,10,02,14,283.2,333,Hazardous,367.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 03:00 PM,2023,10,02,15,406.1,438,Hazardous,529.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 04:00 PM,2023,10,02,16,409.1,440,Hazardous,412.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 05:00 PM,2023,10,02,17,411.1,441,Hazardous,413.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 06:00 PM,2023,10,02,18,396.6,431,Hazardous,382.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 07:00 PM,2023,10,02,19,432.8,455,Hazardous,469.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 08:00 PM,2023,10,02,20,379.9,420,Hazardous,327.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 09:00 PM,2023,10,02,21,352.5,402,Hazardous,325.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 10:00 PM,2023,10,02,22,294.2,344,Hazardous,236.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-02 11:00 PM,2023,10,02,23,229.1,279,Very Unhealthy,164.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 12:00 AM,2023,10,03,00,210.0,260,Very Unhealthy,191.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 01:00 AM,2023,10,03,01,204.5,255,Very Unhealthy,199.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 02:00 AM,2023,10,03,02,224.7,275,Very Unhealthy,245.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 03:00 AM,2023,10,03,03,222.8,273,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 04:00 AM,2023,10,03,04,249.9,300,Very Unhealthy,277.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 05:00 AM,2023,10,03,05,511.9,508,Hazardous,774.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 06:00 AM,2023,10,03,06,702.5,633,Hazardous,893.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 07:00 AM,2023,10,03,07,733.8,654,Hazardous,765.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 08:00 AM,2023,10,03,08,704.9,635,Hazardous,676.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 09:00 AM,2023,10,03,09,704.0,634,Hazardous,703.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 10:00 AM,2023,10,03,10,701.5,633,Hazardous,699.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 11:00 AM,2023,10,03,11,782.8,687,Hazardous,864.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 12:00 PM,2023,10,03,12,874.0,747,Hazardous,965.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 01:00 PM,2023,10,03,13,929.6,783,Hazardous,985.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 02:00 PM,2023,10,03,14,929.7,784,Hazardous,985.0,UG/M3,1 Hr,Invalid
N'Djamena,PM2.5 - Principal,2023-10-03 03:00 PM,2023,10,03,15,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
N'Djamena,PM2.5 - Principal,2023-10-03 04:00 PM,2023,10,03,16,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
N'Djamena,PM2.5 - Principal,2023-10-03 05:00 PM,2023,10,03,17,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
N'Djamena,PM2.5 - Principal,2023-10-03 06:00 PM,2023,10,03,18,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
N'Djamena,PM2.5 - Principal,2023-10-03 09:00 PM,2023,10,03,21,-999.0,-999,N/A,86.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 10:00 PM,2023,10,03,22,44.0,122,Unhealthy for Sensitive Groups,20.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-03 11:00 PM,2023,10,03,23,31.9,93,Moderate,23.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 12:00 AM,2023,10,04,00,24.9,78,Moderate,19.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 01:00 AM,2023,10,04,01,20.7,69,Moderate,17.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 02:00 AM,2023,10,04,02,15.7,59,Moderate,11.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 03:00 AM,2023,10,04,03,14.3,56,Moderate,13.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 04:00 AM,2023,10,04,04,15.1,57,Moderate,16.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 05:00 AM,2023,10,04,05,15.0,57,Moderate,15.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 06:00 AM,2023,10,04,06,24.0,76,Moderate,33.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 07:00 AM,2023,10,04,07,38.0,107,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 08:00 AM,2023,10,04,08,40.5,113,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 09:00 AM,2023,10,04,09,46.2,127,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 10:00 AM,2023,10,04,10,39.6,111,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 11:00 AM,2023,10,04,11,65.8,156,Unhealthy,92.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 12:00 PM,2023,10,04,12,136.9,193,Unhealthy,208.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 01:00 PM,2023,10,04,13,196.4,246,Very Unhealthy,256.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 02:00 PM,2023,10,04,14,228.7,278,Very Unhealthy,261.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 03:00 PM,2023,10,04,15,263.4,314,Hazardous,298.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 04:00 PM,2023,10,04,16,262.7,313,Hazardous,262.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 05:00 PM,2023,10,04,17,272.9,323,Hazardous,283.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 06:00 PM,2023,10,04,18,278.9,329,Hazardous,285.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 07:00 PM,2023,10,04,19,256.5,307,Hazardous,234.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 08:00 PM,2023,10,04,20,258.7,309,Hazardous,261.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 09:00 PM,2023,10,04,21,262.4,313,Hazardous,266.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 10:00 PM,2023,10,04,22,237.7,287,Very Unhealthy,213.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-04 11:00 PM,2023,10,04,23,224.1,274,Very Unhealthy,189.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 12:00 AM,2023,10,05,00,205.0,255,Very Unhealthy,180.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 01:00 AM,2023,10,05,01,188.2,238,Very Unhealthy,170.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 02:00 AM,2023,10,05,02,181.6,232,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 03:00 AM,2023,10,05,03,173.6,224,Very Unhealthy,163.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 04:00 AM,2023,10,05,04,172.4,223,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 05:00 AM,2023,10,05,05,170.9,221,Very Unhealthy,169.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 06:00 AM,2023,10,05,06,174.1,224,Very Unhealthy,178.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 07:00 AM,2023,10,05,07,183.3,234,Very Unhealthy,198.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 08:00 AM,2023,10,05,08,193.6,244,Very Unhealthy,210.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2023-10-05 09:00 AM,2023,10,05,09,174.7,225,Very Unhealthy,142.0,UG/M3,1 Hr,Valid
