Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
N'Djamena,PM2.5 - Principal,2024-01-09 01:00 PM,2024,01,09,13,-999.0,-999,N/A,57.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 02:00 PM,2024,01,09,14,54.9,149,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 03:00 PM,2024,01,09,15,54.2,147,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 04:00 PM,2024,01,09,16,52.9,144,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 05:00 PM,2024,01,09,17,52.6,143,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 06:00 PM,2024,01,09,18,93.0,177,Unhealthy,133.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 07:00 PM,2024,01,09,19,200.8,276,Very Unhealthy,307.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 08:00 PM,2024,01,09,20,245.6,341,Hazardous,290.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 09:00 PM,2024,01,09,21,236.7,323,Hazardous,228.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 10:00 PM,2024,01,09,22,202.3,277,Very Unhealthy,168.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-09 11:00 PM,2024,01,09,23,157.1,232,Very Unhealthy,112.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 12:00 AM,2024,01,10,00,112.5,191,Unhealthy,68.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 01:00 AM,2024,01,10,01,86.7,173,Unhealthy,61.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 02:00 AM,2024,01,10,02,62.8,156,Unhealthy,39.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 03:00 AM,2024,01,10,03,43.4,120,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 04:00 AM,2024,01,10,04,31.2,92,Moderate,19.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 05:00 AM,2024,01,10,05,22.6,76,Moderate,14.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 06:00 AM,2024,01,10,06,22.2,75,Moderate,22.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 07:00 AM,2024,01,10,07,80.1,168,Unhealthy,138.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 08:00 AM,2024,01,10,08,120.0,196,Unhealthy,160.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 09:00 AM,2024,01,10,09,117.5,194,Unhealthy,115.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 10:00 AM,2024,01,10,10,96.2,180,Unhealthy,75.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 11:00 AM,2024,01,10,11,79.1,168,Unhealthy,62.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 12:00 PM,2024,01,10,12,64.5,157,Unhealthy,50.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 01:00 PM,2024,01,10,13,54.7,148,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 02:00 PM,2024,01,10,14,46.3,128,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 03:00 PM,2024,01,10,15,43.6,121,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 04:00 PM,2024,01,10,16,43.7,121,Unhealthy for Sensitive Groups,-999.0,UG/M3,1 Hr,Missing
N'Djamena,PM2.5 - Principal,2024-01-10 05:00 PM,2024,01,10,17,51.9,141,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 06:00 PM,2024,01,10,18,96.5,180,Unhealthy,130.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 07:00 PM,2024,01,10,19,235.4,321,Hazardous,357.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 08:00 PM,2024,01,10,20,355.0,559,Hazardous,467.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 09:00 PM,2024,01,10,21,304.2,458,Hazardous,255.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 10:00 PM,2024,01,10,22,204.8,280,Very Unhealthy,107.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-10 11:00 PM,2024,01,10,23,144.6,220,Very Unhealthy,85.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-11 12:00 AM,2024,01,11,00,97.2,180,Unhealthy,50.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-11 01:00 AM,2024,01,11,01,98.6,181,Unhealthy,100.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-11 02:00 AM,2024,01,11,02,159.8,235,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-11 03:00 AM,2024,01,11,03,209.9,285,Very Unhealthy,260.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-11 04:00 AM,2024,01,11,04,200.4,275,Very Unhealthy,191.0,UG/M3,1 Hr,Valid
N'Djamena,PM2.5 - Principal,2024-01-11 05:00 AM,2024,01,11,05,172.2,247,Very Unhealthy,144.0,UG/M3,1 Hr,Valid
