Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Nairobi,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,13.3,54,Moderate,12.8,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,20.3,68,Moderate,27.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,30.2,89,Moderate,40.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,30.6,90,Moderate,31.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,37.4,106,Unhealthy for Sensitive Groups,44.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,33.8,97,Moderate,30.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,31.0,91,Moderate,28.3,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,26.6,81,Moderate,22.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,18.9,65,Moderate,11.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,14.8,57,Moderate,10.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,11.8,49,Good,8.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,10.5,44,Good,9.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,11.0,46,Good,11.4,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,10.8,45,Good,10.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,10.1,42,Good,9.4,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,9.9,41,Good,9.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,10.0,42,Good,10.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,9.4,39,Good,8.8,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,10.3,43,Good,11.3,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,10.1,42,Good,10.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,10.0,42,Good,9.6,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,9.7,40,Good,8.9,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,9.1,38,Good,8.0,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,8.6,36,Good,7.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,8.4,35,Good,7.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,8.0,33,Good,7.4,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,7.9,33,Good,7.9,UG/M3,1 Hr,Valid
