Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Nairobi CMR,PM2.5 - Principal,2025-04-01 01:00 AM,2025,04,01,01,15.7,63,Moderate,12.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 02:00 AM,2025,04,01,02,15.0,62,Moderate,14.3,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 03:00 AM,2025,04,01,03,14.2,61,Moderate,13.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 04:00 AM,2025,04,01,04,12.8,58,Moderate,11.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 05:00 AM,2025,04,01,05,12.4,57,Moderate,12.0,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 06:00 AM,2025,04,01,06,16.4,65,Moderate,20.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 07:00 AM,2025,04,01,07,21.9,75,Moderate,27.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 08:00 AM,2025,04,01,08,25.2,81,Moderate,28.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 09:00 AM,2025,04,01,09,23.4,78,Moderate,21.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 10:00 AM,2025,04,01,10,19.8,71,Moderate,16.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 11:00 AM,2025,04,01,11,16.8,65,Moderate,13.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 12:00 PM,2025,04,01,12,15.8,63,Moderate,14.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 01:00 PM,2025,04,01,13,18.2,68,Moderate,20.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 02:00 PM,2025,04,01,14,18.9,69,Moderate,19.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 03:00 PM,2025,04,01,15,17.6,67,Moderate,16.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 04:00 PM,2025,04,01,16,15.9,64,Moderate,14.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 05:00 PM,2025,04,01,17,15.0,62,Moderate,14.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 06:00 PM,2025,04,01,18,14.0,60,Moderate,13.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 07:00 PM,2025,04,01,19,14.1,60,Moderate,14.3,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 08:00 PM,2025,04,01,20,16.0,64,Moderate,18.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 09:00 PM,2025,04,01,21,26.7,84,Moderate,37.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 10:00 PM,2025,04,01,22,26.7,84,Moderate,26.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-01 11:00 PM,2025,04,01,23,26.7,84,Moderate,26.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 12:00 AM,2025,04,02,00,30.0,90,Moderate,33.3,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 01:00 AM,2025,04,02,01,30.6,91,Moderate,31.3,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 02:00 AM,2025,04,02,02,26.7,84,Moderate,22.9,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 03:00 AM,2025,04,02,03,22.1,75,Moderate,17.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 04:00 AM,2025,04,02,04,18.6,69,Moderate,15.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 05:00 AM,2025,04,02,05,16.6,65,Moderate,14.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 06:00 AM,2025,04,02,06,16.3,64,Moderate,16.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 07:00 AM,2025,04,02,07,20.2,72,Moderate,24.0,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 08:00 AM,2025,04,02,08,24.4,80,Moderate,28.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 09:00 AM,2025,04,02,09,23.5,78,Moderate,22.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 10:00 AM,2025,04,02,10,21.1,73,Moderate,18.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 11:00 AM,2025,04,02,11,19.1,70,Moderate,17.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 12:00 PM,2025,04,02,12,17.1,66,Moderate,15.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 01:00 PM,2025,04,02,13,15.9,64,Moderate,14.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 02:00 PM,2025,04,02,14,15.4,63,Moderate,15.0,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 03:00 PM,2025,04,02,15,18.2,68,Moderate,21.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 04:00 PM,2025,04,02,16,16.6,65,Moderate,14.9,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 05:00 PM,2025,04,02,17,14.8,62,Moderate,13.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 06:00 PM,2025,04,02,18,14.9,62,Moderate,15.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 07:00 PM,2025,04,02,19,16.4,65,Moderate,17.9,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 08:00 PM,2025,04,02,20,23.5,78,Moderate,30.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 09:00 PM,2025,04,02,21,30.6,91,Moderate,37.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 10:00 PM,2025,04,02,22,32.9,95,Moderate,35.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-02 11:00 PM,2025,04,02,23,33.7,97,Moderate,34.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-03 12:00 AM,2025,04,03,00,32.9,95,Moderate,32.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-04-03 01:00 AM,2025,04,03,01,29.7,89,Moderate,26.6,UG/M3,1 Hr,Valid
