Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Nairobi CMR,PM2.5 - Principal,2025-01-28 02:00 PM,2025,01,28,14,-999.0,-999,N/A,1.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 03:00 PM,2025,01,28,15,1.2,7,Good,1.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 04:00 PM,2025,01,28,16,1.1,6,Good,1.0,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 05:00 PM,2025,01,28,17,0.9,5,Good,0.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 06:00 PM,2025,01,28,18,0.6,3,Good,0.3,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 07:00 PM,2025,01,28,19,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 08:00 PM,2025,01,28,20,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 09:00 PM,2025,01,28,21,0.5,3,Good,0.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 10:00 PM,2025,01,28,22,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-28 11:00 PM,2025,01,28,23,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 12:00 AM,2025,01,29,00,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 01:00 AM,2025,01,29,01,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 02:00 AM,2025,01,29,02,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 03:00 AM,2025,01,29,03,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 04:00 AM,2025,01,29,04,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 05:00 AM,2025,01,29,05,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 06:00 AM,2025,01,29,06,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 07:00 AM,2025,01,29,07,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 08:00 AM,2025,01,29,08,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 09:00 AM,2025,01,29,09,0.7,4,Good,0.9,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 10:00 AM,2025,01,29,10,0.6,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 11:00 AM,2025,01,29,11,0.5,3,Good,0.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 12:00 PM,2025,01,29,12,0.4,2,Good,0.3,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 01:00 PM,2025,01,29,13,0.2,1,Good,0.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 02:00 PM,2025,01,29,14,0.2,1,Good,0.2,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 03:00 PM,2025,01,29,15,0.2,1,Good,0.3,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 04:00 PM,2025,01,29,16,0.3,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 05:00 PM,2025,01,29,17,0.5,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 06:00 PM,2025,01,29,18,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 07:00 PM,2025,01,29,19,0.8,4,Good,1.1,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 08:00 PM,2025,01,29,20,0.8,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 09:00 PM,2025,01,29,21,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 10:00 PM,2025,01,29,22,0.8,4,Good,1.0,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-29 11:00 PM,2025,01,29,23,0.8,4,Good,0.9,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 12:00 AM,2025,01,30,00,0.8,4,Good,0.9,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 01:00 AM,2025,01,30,01,0.8,4,Good,0.9,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 02:00 AM,2025,01,30,02,0.8,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 03:00 AM,2025,01,30,03,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 04:00 AM,2025,01,30,04,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 05:00 AM,2025,01,30,05,0.6,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 06:00 AM,2025,01,30,06,0.5,3,Good,0.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 07:00 AM,2025,01,30,07,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 08:00 AM,2025,01,30,08,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 09:00 AM,2025,01,30,09,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 10:00 AM,2025,01,30,10,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 11:00 AM,2025,01,30,11,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi CMR,PM2.5 - Principal,2025-01-30 12:00 PM,2025,01,30,12,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
