Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Nairobi RR,PM2.5 - Principal,2025-02-12 04:00 PM,2025,02,12,16,-999.0,-999,N/A,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-12 05:00 PM,2025,02,12,17,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-12 06:00 PM,2025,02,12,18,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-12 07:00 PM,2025,02,12,19,0.7,4,Good,0.9,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-12 08:00 PM,2025,02,12,20,0.9,5,Good,1.1,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-12 09:00 PM,2025,02,12,21,0.8,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-12 10:00 PM,2025,02,12,22,0.6,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-12 11:00 PM,2025,02,12,23,0.5,3,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 12:00 AM,2025,02,13,00,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 01:00 AM,2025,02,13,01,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 02:00 AM,2025,02,13,02,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 03:00 AM,2025,02,13,03,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 04:00 AM,2025,02,13,04,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 05:00 AM,2025,02,13,05,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 06:00 AM,2025,02,13,06,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 07:00 AM,2025,02,13,07,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 08:00 AM,2025,02,13,08,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 09:00 AM,2025,02,13,09,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 10:00 AM,2025,02,13,10,0.3,2,Good,0.3,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 11:00 AM,2025,02,13,11,0.2,1,Good,0.2,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 12:00 PM,2025,02,13,12,0.2,1,Good,0.3,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 01:00 PM,2025,02,13,13,0.3,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 02:00 PM,2025,02,13,14,0.3,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 03:00 PM,2025,02,13,15,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 04:00 PM,2025,02,13,16,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 05:00 PM,2025,02,13,17,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 06:00 PM,2025,02,13,18,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 07:00 PM,2025,02,13,19,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 08:00 PM,2025,02,13,20,0.4,2,Good,0.4,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 09:00 PM,2025,02,13,21,0.4,2,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 10:00 PM,2025,02,13,22,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-13 11:00 PM,2025,02,13,23,0.6,3,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 12:00 AM,2025,02,14,00,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 01:00 AM,2025,02,14,01,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 02:00 AM,2025,02,14,02,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 03:00 AM,2025,02,14,03,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 04:00 AM,2025,02,14,04,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 05:00 AM,2025,02,14,05,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 06:00 AM,2025,02,14,06,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 07:00 AM,2025,02,14,07,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 08:00 AM,2025,02,14,08,0.9,5,Good,1.2,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 09:00 AM,2025,02,14,09,1.0,6,Good,1.2,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 10:00 AM,2025,02,14,10,0.8,4,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 11:00 AM,2025,02,14,11,0.7,4,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 12:00 PM,2025,02,14,12,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 01:00 PM,2025,02,14,13,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 02:00 PM,2025,02,14,14,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 03:00 PM,2025,02,14,15,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 04:00 PM,2025,02,14,16,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 05:00 PM,2025,02,14,17,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 06:00 PM,2025,02,14,18,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 07:00 PM,2025,02,14,19,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 08:00 PM,2025,02,14,20,0.9,5,Good,1.2,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 09:00 PM,2025,02,14,21,1.3,7,Good,1.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 10:00 PM,2025,02,14,22,1.4,8,Good,1.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-14 11:00 PM,2025,02,14,23,1.2,7,Good,1.0,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 12:00 AM,2025,02,15,00,0.9,5,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 01:00 AM,2025,02,15,01,0.7,4,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 02:00 AM,2025,02,15,02,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 03:00 AM,2025,02,15,03,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 04:00 AM,2025,02,15,04,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 05:00 AM,2025,02,15,05,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 06:00 AM,2025,02,15,06,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 07:00 AM,2025,02,15,07,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 08:00 AM,2025,02,15,08,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 09:00 AM,2025,02,15,09,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 10:00 AM,2025,02,15,10,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 11:00 AM,2025,02,15,11,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 12:00 PM,2025,02,15,12,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 01:00 PM,2025,02,15,13,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 02:00 PM,2025,02,15,14,0.6,3,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 03:00 PM,2025,02,15,15,0.7,4,Good,0.9,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 04:00 PM,2025,02,15,16,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 05:00 PM,2025,02,15,17,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 06:00 PM,2025,02,15,18,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 07:00 PM,2025,02,15,19,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 08:00 PM,2025,02,15,20,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 09:00 PM,2025,02,15,21,0.7,4,Good,0.9,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 10:00 PM,2025,02,15,22,1.0,6,Good,1.2,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-15 11:00 PM,2025,02,15,23,0.9,5,Good,0.9,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 12:00 AM,2025,02,16,00,0.8,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 01:00 AM,2025,02,16,01,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 02:00 AM,2025,02,16,02,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 03:00 AM,2025,02,16,03,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 04:00 AM,2025,02,16,04,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 05:00 AM,2025,02,16,05,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 06:00 AM,2025,02,16,06,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 07:00 AM,2025,02,16,07,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 08:00 AM,2025,02,16,08,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 09:00 AM,2025,02,16,09,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 10:00 AM,2025,02,16,10,0.5,3,Good,0.5,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 11:00 AM,2025,02,16,11,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 12:00 PM,2025,02,16,12,0.5,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 01:00 PM,2025,02,16,13,0.5,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 02:00 PM,2025,02,16,14,0.6,3,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 03:00 PM,2025,02,16,15,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 04:00 PM,2025,02,16,16,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 05:00 PM,2025,02,16,17,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 06:00 PM,2025,02,16,18,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 07:00 PM,2025,02,16,19,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 08:00 PM,2025,02,16,20,0.6,3,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 09:00 PM,2025,02,16,21,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 10:00 PM,2025,02,16,22,0.7,4,Good,0.7,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-16 11:00 PM,2025,02,16,23,0.6,3,Good,0.6,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-17 12:00 AM,2025,02,17,00,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
Nairobi RR,PM2.5 - Principal,2025-02-17 01:00 AM,2025,02,17,01,0.7,4,Good,0.8,UG/M3,1 Hr,Valid
