Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,2015-12-01 07:00 AM,2015,12,01,07,213.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 08:00 AM,2015,12,01,08,-999.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 09:00 AM,2015,12,01,09,264.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 10:00 AM,2015,12,01,10,250.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 11:00 AM,2015,12,01,11,205.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 12:00 PM,2015,12,01,12,171.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 01:00 PM,2015,12,01,13,136.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 02:00 PM,2015,12,01,14,142.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 03:00 PM,2015,12,01,15,134.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 04:00 PM,2015,12,01,16,111.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 05:00 PM,2015,12,01,17,157.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 06:00 PM,2015,12,01,18,173.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 07:00 PM,2015,12,01,19,214.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 08:00 PM,2015,12,01,20,207.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 09:00 PM,2015,12,01,21,217.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2015-12-01 10:00 PM,2015,12,01,22,238.0,UG/M3,1 Hr,Valid
