Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[New Delhi, PM2.5 - Principal, 2016-10-01 01:00 AM, 2016, 10, 01, 01, 152.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 02:00 AM, 2016, 10, 01, 02, 157.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 03:00 AM, 2016, 10, 01, 03, 153.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 04:00 AM, 2016, 10, 01, 04, 148.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 05:00 AM, 2016, 10, 01, 05, 134.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 06:00 AM, 2016, 10, 01, 06, 111.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 07:00 AM, 2016, 10, 01, 07, 103.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 08:00 AM, 2016, 10, 01, 08, 89.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 09:00 AM, 2016, 10, 01, 09, 81.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 10:00 AM, 2016, 10, 01, 10, 75.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 11:00 AM, 2016, 10, 01, 11, 51.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 12:00 PM, 2016, 10, 01, 12, 61.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 01:00 PM, 2016, 10, 01, 13, 65.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 02:00 PM, 2016, 10, 01, 14, 62.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 03:00 PM, 2016, 10, 01, 15, 59.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 04:00 PM, 2016, 10, 01, 16, 51.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 05:00 PM, 2016, 10, 01, 17, 57.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 06:00 PM, 2016, 10, 01, 18, 1985.0, , , , , , , UG/M3, 1 Hr, Invalid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 07:00 PM, 2016, 10, 01, 19, 64.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 08:00 PM, 2016, 10, 01, 20, 71.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 09:00 PM, 2016, 10, 01, 21, 82.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 10:00 PM, 2016, 10, 01, 22, 90.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-01 11:00 PM, 2016, 10, 01, 23, 100.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 12:00 AM, 2016, 10, 02, 00, 88.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 01:00 AM, 2016, 10, 02, 01, 93.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 02:00 AM, 2016, 10, 02, 02, 88.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 03:00 AM, 2016, 10, 02, 03, 83.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 04:00 AM, 2016, 10, 02, 04, 72.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 05:00 AM, 2016, 10, 02, 05, 60.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 06:00 AM, 2016, 10, 02, 06, 59.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 07:00 AM, 2016, 10, 02, 07, 62.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 08:00 AM, 2016, 10, 02, 08, 54.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 09:00 AM, 2016, 10, 02, 09, 52.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 10:00 AM, 2016, 10, 02, 10, 53.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 11:00 AM, 2016, 10, 02, 11, 41.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 12:00 PM, 2016, 10, 02, 12, 32.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 01:00 PM, 2016, 10, 02, 13, 35.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 02:00 PM, 2016, 10, 02, 14, 36.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 03:00 PM, 2016, 10, 02, 15, 38.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[New Delhi, PM2.5 - Principal, 2016-10-02 04:00 PM, 2016, 10, 02, 16, 41.0, , , , , , , UG/M3, 1 Hr, Valid]"
