Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,249,5,198.8,224.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,242,5,191.7,219.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,237,5,187.0,201.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,234,5,183.5,190.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,232,5,181.7,200.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,229,5,179.2,176.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,227,5,176.6,178.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,225,5,175.2,183.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,223,5,172.8,185.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,219,5,168.2,205.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,213,5,162.2,210.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,207,5,156.2,179.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,200,4,150.2,124.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,200,4,149.9,120.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,203,5,152.5,83.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,206,5,155.1,68.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,207,5,156.5,55.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,207,5,156.6,67.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,206,5,155.7,107.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,206,5,155.5,120.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,208,5,157.4,118.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,212,5,161.2,126.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,211,5,160.7,130.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,208,5,157.8,139.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,207,5,156.4,215.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,206,5,155.4,281.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,204,5,153.5,264.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,203,5,153.0,225.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,203,5,152.7,201.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,203,5,152.7,154.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,207,5,156.4,174.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,211,5,160.5,229.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,216,5,165.2,277.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,222,5,171.7,191.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,230,5,179.3,142.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,237,5,186.7,144.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,244,5,193.7,101.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,247,5,196.6,75.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,245,5,195.3,71.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,245,5,194.9,60.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,246,5,195.9,55.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,248,5,198.0,155.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,251,5,200.8,205.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,251,5,200.9,234.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 09:00 PM,2017,01,02,21,248,5,197.7,273.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 10:00 PM,2017,01,02,22,243,5,192.7,309.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-02 11:00 PM,2017,01,02,23,242,5,192.0,309.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2017-01-03 12:00 AM,2017,01,03,00,243,5,192.9,307.0,UG/M3,1 Hr,Valid
