Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,2018-05-01 01:00 AM,2018,05,01,01,56.8,152,Unhealthy,49.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 02:00 AM,2018,05,01,02,52.9,144,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 03:00 AM,2018,05,01,03,43.9,122,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 04:00 AM,2018,05,01,04,40.4,113,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 05:00 AM,2018,05,01,05,45.2,125,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 06:00 AM,2018,05,01,06,46.6,128,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 07:00 AM,2018,05,01,07,46.8,129,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 08:00 AM,2018,05,01,08,42.8,119,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 09:00 AM,2018,05,01,09,41.9,117,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 10:00 AM,2018,05,01,10,40.4,113,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 11:00 AM,2018,05,01,11,39.4,111,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 12:00 PM,2018,05,01,12,39.2,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 01:00 PM,2018,05,01,13,37.3,105,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 02:00 PM,2018,05,01,14,37.8,107,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 03:00 PM,2018,05,01,15,35.6,101,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 04:00 PM,2018,05,01,16,36.1,102,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 05:00 PM,2018,05,01,17,37.8,107,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 06:00 PM,2018,05,01,18,37.4,106,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 07:00 PM,2018,05,01,19,37.7,106,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 08:00 PM,2018,05,01,20,41.3,115,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 09:00 PM,2018,05,01,21,42.9,119,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 10:00 PM,2018,05,01,22,50.9,139,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-01 11:00 PM,2018,05,01,23,47.7,131,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 12:00 AM,2018,05,02,00,53.5,145,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 01:00 AM,2018,05,02,01,48.6,133,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 02:00 AM,2018,05,02,02,46.9,129,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 03:00 AM,2018,05,02,03,43.7,121,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 04:00 AM,2018,05,02,04,43.0,119,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 05:00 AM,2018,05,02,05,40.1,112,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 06:00 AM,2018,05,02,06,40.0,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 07:00 AM,2018,05,02,07,44.4,123,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 08:00 AM,2018,05,02,08,42.6,118,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 09:00 AM,2018,05,02,09,43.2,120,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 10:00 AM,2018,05,02,10,43.1,120,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 11:00 AM,2018,05,02,11,42.2,117,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 12:00 PM,2018,05,02,12,40.7,114,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 01:00 PM,2018,05,02,13,39.6,111,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 02:00 PM,2018,05,02,14,41.1,115,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 03:00 PM,2018,05,02,15,52.6,143,Unhealthy for Sensitive Groups,66.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 04:00 PM,2018,05,02,16,48.2,132,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 05:00 PM,2018,05,02,17,89.7,169,Unhealthy,131.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 06:00 PM,2018,05,02,18,152.8,203,Very Unhealthy,216.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 07:00 PM,2018,05,02,19,106.4,177,Unhealthy,60.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 08:00 PM,2018,05,02,20,74.2,161,Unhealthy,42.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 09:00 PM,2018,05,02,21,47.6,131,Unhealthy for Sensitive Groups,21.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 10:00 PM,2018,05,02,22,35.3,100,Moderate,23.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-02 11:00 PM,2018,05,02,23,34.6,98,Moderate,34.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 12:00 AM,2018,05,03,00,25.3,79,Moderate,16.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 01:00 AM,2018,05,03,01,26.1,80,Moderate,27.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 02:00 AM,2018,05,03,02,48.5,133,Unhealthy for Sensitive Groups,71.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 03:00 AM,2018,05,03,03,40.7,114,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 04:00 AM,2018,05,03,04,33.8,97,Moderate,27.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 05:00 AM,2018,05,03,05,41.4,116,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 06:00 AM,2018,05,03,06,42.1,117,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2018-05-03 07:00 AM,2018,05,03,07,34.0,97,Moderate,26.0,UG/M3,1 Hr,Valid
