Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Nur-Sultan,PM2.5 - Principal,2021-02-01 01:00 AM,2021,02,01,01,457.9,472,Hazardous,501.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 02:00 AM,2021,02,01,02,458.0,472,Hazardous,-999.0,UG/M3,1 Hr,Missing
Nur-Sultan,PM2.5 - Principal,2021-02-01 05:00 AM,2021,02,01,05,-999.0,-999,N/A,200.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 06:00 AM,2021,02,01,06,155.7,206,Very Unhealthy,117.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 07:00 AM,2021,02,01,07,114.7,182,Unhealthy,83.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 08:00 AM,2021,02,01,08,102.6,175,Unhealthy,92.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 09:00 AM,2021,02,01,09,119.7,184,Unhealthy,136.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 10:00 AM,2021,02,01,10,102.0,175,Unhealthy,85.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 11:00 AM,2021,02,01,11,76.8,162,Unhealthy,52.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 12:00 PM,2021,02,01,12,82.4,165,Unhealthy,88.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 01:00 PM,2021,02,01,13,75.6,161,Unhealthy,69.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 02:00 PM,2021,02,01,14,66.8,157,Unhealthy,58.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-02-01 03:00 PM,2021,02,01,15,50.3,137,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
