Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Nur-Sultan,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,61.1,154,Unhealthy,60.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,97.1,172,Unhealthy,133.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,93.0,170,Unhealthy,89.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,63.5,155,Unhealthy,34.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,55.7,151,Unhealthy,48.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,48.8,134,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,60.4,154,Unhealthy,72.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,68.2,158,Unhealthy,76.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,69.6,158,Unhealthy,71.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,64.3,156,Unhealthy,59.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,188.1,238,Very Unhealthy,312.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,176.6,227,Very Unhealthy,165.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,177.3,228,Very Unhealthy,178.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,204.1,254,Very Unhealthy,231.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,163.5,214,Very Unhealthy,123.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,147.8,199,Unhealthy,132.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,107.4,178,Unhealthy,67.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,96.2,172,Unhealthy,85.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,156.6,207,Very Unhealthy,217.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,158.8,209,Very Unhealthy,161.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,181.4,232,Very Unhealthy,204.0,UG/M3,1 Hr,Valid
Nur-Sultan,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,198.2,248,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
