Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ouagadougou,PM2.5 - Principal,2025-01-06 06:00 PM,2025,01,06,18,-999.0,-999,N/A,66.4,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-06 07:00 PM,2025,01,06,19,85.1,172,Unhealthy,97.9,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-06 08:00 PM,2025,01,06,20,148.3,224,Very Unhealthy,194.1,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-06 09:00 PM,2025,01,06,21,171.5,247,Very Unhealthy,191.9,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-06 10:00 PM,2025,01,06,22,171.3,246,Very Unhealthy,171.2,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-06 11:00 PM,2025,01,06,23,167.8,243,Very Unhealthy,164.5,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 12:00 AM,2025,01,07,00,131.9,207,Very Unhealthy,96.6,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 01:00 AM,2025,01,07,01,101.8,183,Unhealthy,71.9,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 02:00 AM,2025,01,07,02,86.1,172,Unhealthy,70.6,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 03:00 AM,2025,01,07,03,73.9,164,Unhealthy,61.8,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 04:00 AM,2025,01,07,04,62.7,156,Unhealthy,51.6,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 05:00 AM,2025,01,07,05,55.9,151,Unhealthy,49.1,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 06:00 AM,2025,01,07,06,53.4,145,Unhealthy for Sensitive Groups,50.9,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 07:00 AM,2025,01,07,07,56.3,152,Unhealthy,59.2,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 08:00 AM,2025,01,07,08,73.8,164,Unhealthy,91.5,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 09:00 AM,2025,01,07,09,83.1,170,Unhealthy,92.5,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 10:00 AM,2025,01,07,10,61.6,155,Unhealthy,40.2,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 11:00 AM,2025,01,07,11,47.5,131,Unhealthy for Sensitive Groups,33.5,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 12:00 PM,2025,01,07,12,39.4,111,Unhealthy for Sensitive Groups,31.3,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 01:00 PM,2025,01,07,13,34.6,99,Moderate,29.9,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 02:00 PM,2025,01,07,14,30.9,92,Moderate,27.2,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 03:00 PM,2025,01,07,15,27.1,85,Moderate,23.3,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 04:00 PM,2025,01,07,16,25.1,81,Moderate,23.2,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 05:00 PM,2025,01,07,17,24.7,80,Moderate,24.4,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 06:00 PM,2025,01,07,18,29.1,88,Moderate,33.5,UG/M3,1 Hr,Valid
Ouagadougou,PM2.5 - Principal,2025-01-07 07:00 PM,2025,01,07,19,43.7,121,Unhealthy for Sensitive Groups,58.4,UG/M3,1 Hr,Valid
