Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Peshawar,PM2.5 - Principal,2021-08-03 11:00 AM,2021,08,03,11,-999.0,-999,N/A,57.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 12:00 PM,2021,08,03,12,50.2,137,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 01:00 PM,2021,08,03,13,54.8,149,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 02:00 PM,2021,08,03,14,70.6,159,Unhealthy,85.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 03:00 PM,2021,08,03,15,72.3,160,Unhealthy,74.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 04:00 PM,2021,08,03,16,63.4,155,Unhealthy,54.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 05:00 PM,2021,08,03,17,57.0,152,Unhealthy,50.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 06:00 PM,2021,08,03,18,55.6,151,Unhealthy,54.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 07:00 PM,2021,08,03,19,65.2,156,Unhealthy,76.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 08:00 PM,2021,08,03,20,71.7,159,Unhealthy,79.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 09:00 PM,2021,08,03,21,63.3,155,Unhealthy,54.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 10:00 PM,2021,08,03,22,57.5,152,Unhealthy,51.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-03 11:00 PM,2021,08,03,23,44.5,123,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 12:00 AM,2021,08,04,00,35.7,101,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 01:00 AM,2021,08,04,01,51.8,141,Unhealthy for Sensitive Groups,68.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 02:00 AM,2021,08,04,02,72.4,160,Unhealthy,93.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 03:00 AM,2021,08,04,03,58.2,152,Unhealthy,44.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 04:00 AM,2021,08,04,04,51.6,141,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 05:00 AM,2021,08,04,05,57.3,152,Unhealthy,63.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 06:00 AM,2021,08,04,06,56.6,152,Unhealthy,56.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 07:00 AM,2021,08,04,07,52.3,142,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 08:00 AM,2021,08,04,08,55.6,151,Unhealthy,59.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 09:00 AM,2021,08,04,09,46.8,129,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 10:00 AM,2021,08,04,10,49.4,135,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 11:00 AM,2021,08,04,11,45.2,125,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 12:00 PM,2021,08,04,12,46.1,127,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 01:00 PM,2021,08,04,13,48.0,132,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 02:00 PM,2021,08,04,14,45.1,125,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 03:00 PM,2021,08,04,15,46.2,127,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 04:00 PM,2021,08,04,16,44.1,122,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 05:00 PM,2021,08,04,17,44.2,122,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 06:00 PM,2021,08,04,18,43.0,119,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 07:00 PM,2021,08,04,19,43.7,121,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 08:00 PM,2021,08,04,20,44.9,124,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 09:00 PM,2021,08,04,21,49.4,135,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 10:00 PM,2021,08,04,22,54.6,148,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-04 11:00 PM,2021,08,04,23,63.1,155,Unhealthy,72.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-05 12:00 AM,2021,08,05,00,63.1,155,Unhealthy,-999.0,UG/M3,1 Hr,Missing
Peshawar,PM2.5 - Principal,2021-08-05 10:00 AM,2021,08,05,10,-999.0,-999,N/A,86.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 09:00 AM,2021,08,06,09,-999.0,-999,N/A,93.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 10:00 AM,2021,08,06,10,76.5,162,Unhealthy,65.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 11:00 AM,2021,08,06,11,52.4,143,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 12:00 PM,2021,08,06,12,42.6,118,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 01:00 PM,2021,08,06,13,35.0,99,Moderate,28.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 02:00 PM,2021,08,06,14,30.9,91,Moderate,27.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 03:00 PM,2021,08,06,15,29.4,87,Moderate,28.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 04:00 PM,2021,08,06,16,29.7,88,Moderate,30.0,UG/M3,1 Hr,Valid
Peshawar,PM2.5 - Principal,2021-08-06 05:00 PM,2021,08,06,17,30.8,90,Moderate,32.0,UG/M3,1 Hr,Valid
