Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2022-05-01 02:00 AM,2022,05,01,02,15.0,14,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 03:00 AM,2022,05,01,03,17.0,16,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 04:00 AM,2022,05,01,04,15.0,14,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 05:00 AM,2022,05,01,05,12.0,11,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 06:00 AM,2022,05,01,06,11.0,10,Good,8.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 07:00 AM,2022,05,01,07,11.0,10,Good,-999.0,PPB,1 Hr,Missing
Phora Durbar Kathmandu,O3,2022-05-01 08:00 AM,2022,05,01,08,15.0,14,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 09:00 AM,2022,05,01,09,31.0,29,Good,32.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 10:00 AM,2022,05,01,10,44.0,41,Good,47.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 11:00 AM,2022,05,01,11,60.0,67,Moderate,65.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 12:00 PM,2022,05,01,12,62.0,74,Moderate,68.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 01:00 PM,2022,05,01,13,58.0,61,Moderate,63.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 02:00 PM,2022,05,01,14,53.0,49,Good,57.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 03:00 PM,2022,05,01,15,56.0,54,Moderate,61.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 04:00 PM,2022,05,01,16,52.0,48,Good,56.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 05:00 PM,2022,05,01,17,46.0,43,Good,49.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 06:00 PM,2022,05,01,18,46.0,43,Good,49.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 07:00 PM,2022,05,01,19,40.0,37,Good,42.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 08:00 PM,2022,05,01,20,39.0,36,Good,41.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 09:00 PM,2022,05,01,21,42.0,39,Good,44.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 10:00 PM,2022,05,01,22,38.0,35,Good,39.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-01 11:00 PM,2022,05,01,23,23.0,21,Good,22.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 12:00 AM,2022,05,02,00,13.0,12,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 01:00 AM,2022,05,02,01,18.0,17,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 02:00 AM,2022,05,02,02,19.0,18,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 03:00 AM,2022,05,02,03,21.0,19,Good,20.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 04:00 AM,2022,05,02,04,21.0,19,Good,-999.0,PPB,1 Hr,Missing
Phora Durbar Kathmandu,O3,2022-05-02 05:00 AM,2022,05,02,05,22.0,20,Good,21.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 06:00 AM,2022,05,02,06,17.0,16,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 07:00 AM,2022,05,02,07,14.0,13,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 08:00 AM,2022,05,02,08,12.0,11,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 09:00 AM,2022,05,02,09,17.0,16,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 10:00 AM,2022,05,02,10,28.0,26,Good,27.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 11:00 AM,2022,05,02,11,35.0,32,Good,36.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 12:00 PM,2022,05,02,12,26.0,24,Good,26.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 01:00 PM,2022,05,02,13,38.0,35,Good,40.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 02:00 PM,2022,05,02,14,47.0,44,Good,50.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 03:00 PM,2022,05,02,15,36.0,33,Good,37.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 04:00 PM,2022,05,02,16,24.0,22,Good,23.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 05:00 PM,2022,05,02,17,18.0,17,Good,16.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 06:00 PM,2022,05,02,18,21.0,19,Good,20.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 07:00 PM,2022,05,02,19,14.0,13,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 08:00 PM,2022,05,02,20,14.0,13,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2022-05-02 09:00 PM,2022,05,02,21,12.0,11,Good,9.0,PPB,1 Hr,Valid
