Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[Pristina, PM2.5 - Principal, 2016-10-01 02:00 AM, 2016, 10, 01, 02, 20.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 03:00 AM, 2016, 10, 01, 03, 22.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 04:00 AM, 2016, 10, 01, 04, 27.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 05:00 AM, 2016, 10, 01, 05, 23.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 06:00 AM, 2016, 10, 01, 06, 18.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 07:00 AM, 2016, 10, 01, 07, 20.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 08:00 AM, 2016, 10, 01, 08, 23.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 09:00 AM, 2016, 10, 01, 09, 18.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 10:00 AM, 2016, 10, 01, 10, 26.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 11:00 AM, 2016, 10, 01, 11, 25.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 12:00 PM, 2016, 10, 01, 12, 24.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 01:00 PM, 2016, 10, 01, 13, 11.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 02:00 PM, 2016, 10, 01, 14, 16.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 03:00 PM, 2016, 10, 01, 15, 3.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 04:00 PM, 2016, 10, 01, 16, 4.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 05:00 PM, 2016, 10, 01, 17, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 06:00 PM, 2016, 10, 01, 18, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 07:00 PM, 2016, 10, 01, 19, 29.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 08:00 PM, 2016, 10, 01, 20, 36.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 09:00 PM, 2016, 10, 01, 21, 36.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 10:00 PM, 2016, 10, 01, 22, 28.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-01 11:00 PM, 2016, 10, 01, 23, 21.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-02 12:00 AM, 2016, 10, 02, 00, 19.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-02 01:00 AM, 2016, 10, 02, 01, 19.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Pristina, PM2.5 - Principal, 2016-10-02 02:00 AM, 2016, 10, 02, 02, 19.0, , , , , , , UG/M3, 1 Hr, Valid]"
