Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Pristina,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,193,4,135.9,559.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,193,4,137.3,196.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,194,4,138.7,163.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,194,4,139.6,185.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,194,4,139.7,131.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,194,4,138.7,97.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,200,4,150.1,66.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,210,5,159.9,81.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,221,5,170.4,120.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,230,5,179.8,100.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,230,5,179.9,91.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,233,5,182.7,69.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,232,5,182.1,61.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,227,5,177.0,70.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,230,5,180.2,70.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,234,5,183.8,71.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,233,5,182.6,82.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,232,5,181.8,409.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,230,5,180.1,327.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,231,5,181.1,314.0,UG/M3,1 Hr,Valid
