Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Pristina,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,125.9,187,Unhealthy,173.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,163.4,214,Very Unhealthy,201.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,114.2,181,Unhealthy,65.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,79.1,163,Unhealthy,44.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,60.5,154,Unhealthy,42.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,57.7,152,Unhealthy,55.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,44.3,123,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,36.1,102,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,34.5,98,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,34.7,99,Moderate,35.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,27.8,84,Moderate,21.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,23.9,76,Moderate,20.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,19.9,67,Moderate,16.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,17.9,63,Moderate,16.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,17.4,62,Moderate,17.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,17.2,62,Moderate,17.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,21.6,71,Moderate,26.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,28.3,85,Moderate,35.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,34.1,97,Moderate,40.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,47.5,131,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,54.7,148,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,43.3,120,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,38.1,107,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,38.6,109,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,43.3,120,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,38.1,107,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,35.0,99,Moderate,32.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,41.0,115,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,44.3,123,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,46.6,128,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,47.2,130,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,44.7,124,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,40.9,114,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,34.1,97,Moderate,27.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,31.3,91,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,28.6,86,Moderate,26.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,30.7,90,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,23.8,76,Moderate,17.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 03:00 PM,2020,01,02,15,22.4,73,Moderate,21.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 04:00 PM,2020,01,02,16,24.2,76,Moderate,26.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 05:00 PM,2020,01,02,17,21.5,71,Moderate,19.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 06:00 PM,2020,01,02,18,24.7,77,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 07:00 PM,2020,01,02,19,69.4,158,Unhealthy,114.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 08:00 PM,2020,01,02,20,85.7,167,Unhealthy,102.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 09:00 PM,2020,01,02,21,99.8,174,Unhealthy,114.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 10:00 PM,2020,01,02,22,112.9,181,Unhealthy,126.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-02 11:00 PM,2020,01,02,23,120.4,185,Unhealthy,128.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-03 12:00 AM,2020,01,03,00,102.7,175,Unhealthy,85.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-03 01:00 AM,2020,01,03,01,104.3,176,Unhealthy,106.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2020-01-03 02:00 AM,2020,01,03,02,127.7,188,Unhealthy,151.0,UG/M3,1 Hr,Valid
