Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Pristina,PM2.5 - Principal,2023-08-01 02:00 AM,2023,08,01,02,31.3,91,Moderate,35.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 03:00 AM,2023,08,01,03,33.5,96,Moderate,36.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 04:00 AM,2023,08,01,04,39.0,110,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 05:00 AM,2023,08,01,05,32.0,93,Moderate,25.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 06:00 AM,2023,08,01,06,31.0,91,Moderate,30.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 07:00 AM,2023,08,01,07,31.5,92,Moderate,32.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 08:00 AM,2023,08,01,08,29.2,87,Moderate,27.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 09:00 AM,2023,08,01,09,28.9,86,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 10:00 AM,2023,08,01,10,31.9,93,Moderate,36.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 11:00 AM,2023,08,01,11,35.4,100,Moderate,40.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 12:00 PM,2023,08,01,12,37.8,107,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 01:00 PM,2023,08,01,13,35.7,101,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 02:00 PM,2023,08,01,14,32.4,94,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 03:00 PM,2023,08,01,15,31.7,92,Moderate,31.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 04:00 PM,2023,08,01,16,30.8,90,Moderate,29.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 05:00 PM,2023,08,01,17,31.7,92,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 06:00 PM,2023,08,01,18,31.1,91,Moderate,30.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 07:00 PM,2023,08,01,19,31.7,92,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 08:00 PM,2023,08,01,20,31.2,91,Moderate,30.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 09:00 PM,2023,08,01,21,32.1,93,Moderate,34.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 10:00 PM,2023,08,01,22,34.3,98,Moderate,39.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-01 11:00 PM,2023,08,01,23,45.1,125,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 12:00 AM,2023,08,02,00,43.6,121,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 01:00 AM,2023,08,02,01,41.8,117,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 02:00 AM,2023,08,02,02,40.4,113,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 03:00 AM,2023,08,02,03,36.4,103,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 04:00 AM,2023,08,02,04,34.0,97,Moderate,31.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 05:00 AM,2023,08,02,05,30.9,91,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 06:00 AM,2023,08,02,06,28.9,86,Moderate,27.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 07:00 AM,2023,08,02,07,30.9,91,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 08:00 AM,2023,08,02,08,35.4,100,Moderate,40.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 09:00 AM,2023,08,02,09,33.2,95,Moderate,31.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 10:00 AM,2023,08,02,10,38.6,109,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 11:00 AM,2023,08,02,11,34.9,99,Moderate,31.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 12:00 PM,2023,08,02,12,32.2,93,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 01:00 PM,2023,08,02,13,31.7,92,Moderate,31.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 02:00 PM,2023,08,02,14,30.6,90,Moderate,29.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 03:00 PM,2023,08,02,15,30.7,90,Moderate,31.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 04:00 PM,2023,08,02,16,29.7,88,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 05:00 PM,2023,08,02,17,29.0,87,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 06:00 PM,2023,08,02,18,28.2,85,Moderate,27.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 07:00 PM,2023,08,02,19,28.5,85,Moderate,29.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 08:00 PM,2023,08,02,20,30.2,89,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 09:00 PM,2023,08,02,21,30.9,91,Moderate,32.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 10:00 PM,2023,08,02,22,30.0,89,Moderate,30.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-02 11:00 PM,2023,08,02,23,30.0,89,Moderate,30.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 12:00 AM,2023,08,03,00,30.9,91,Moderate,34.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 01:00 AM,2023,08,03,01,30.7,90,Moderate,30.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 02:00 AM,2023,08,03,02,31.2,91,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 03:00 AM,2023,08,03,03,31.8,92,Moderate,34.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 04:00 AM,2023,08,03,04,31.3,91,Moderate,29.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 05:00 AM,2023,08,03,05,30.8,90,Moderate,29.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 06:00 AM,2023,08,03,06,30.3,89,Moderate,28.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 07:00 AM,2023,08,03,07,29.5,88,Moderate,27.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 08:00 AM,2023,08,03,08,29.3,87,Moderate,29.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 09:00 AM,2023,08,03,09,30.1,89,Moderate,33.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 10:00 AM,2023,08,03,10,34.4,98,Moderate,42.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 11:00 AM,2023,08,03,11,33.6,96,Moderate,32.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 12:00 PM,2023,08,03,12,31.2,91,Moderate,27.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 01:00 PM,2023,08,03,13,30.7,90,Moderate,30.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 02:00 PM,2023,08,03,14,30.1,89,Moderate,29.0,UG/M3,1 Hr,Valid
Pristina,PM2.5 - Principal,2023-08-03 03:00 PM,2023,08,03,15,30.0,89,Moderate,30.0,UG/M3,1 Hr,Valid
