Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Rangoon,O3,2020-08-25 05:00 AM,2020,08,25,05,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 06:00 AM,2020,08,25,06,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 07:00 AM,2020,08,25,07,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 08:00 AM,2020,08,25,08,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 09:00 AM,2020,08,25,09,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 10:00 AM,2020,08,25,10,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 11:00 AM,2020,08,25,11,6.0,6,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 12:00 PM,2020,08,25,12,6.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 01:00 PM,2020,08,25,13,6.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 02:00 PM,2020,08,25,14,6.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 03:00 PM,2020,08,25,15,6.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 04:00 PM,2020,08,25,16,6.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 05:00 PM,2020,08,25,17,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 06:00 PM,2020,08,25,18,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 07:00 PM,2020,08,25,19,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 08:00 PM,2020,08,25,20,5.0,5,Good,0.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 09:00 PM,2020,08,25,21,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 10:00 PM,2020,08,25,22,6.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-25 11:00 PM,2020,08,25,23,7.0,6,Good,3.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 12:00 AM,2020,08,26,00,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 01:00 AM,2020,08,26,01,5.0,5,Good,0.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 02:00 AM,2020,08,26,02,5.0,5,Good,0.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 03:00 AM,2020,08,26,03,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 04:00 AM,2020,08,26,04,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 05:00 AM,2020,08,26,05,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 06:00 AM,2020,08,26,06,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 07:00 AM,2020,08,26,07,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 08:00 AM,2020,08,26,08,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 09:00 AM,2020,08,26,09,5.0,5,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 10:00 AM,2020,08,26,10,6.0,6,Good,1.0,PPB,1 Hr,Valid
Rangoon,O3,2020-08-26 11:00 AM,2020,08,26,11,6.0,6,Good,2.0,PPB,1 Hr,Valid
