Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Rangoon,O3,2020-03-18 11:00 PM,2020,03,18,23,22.0,20,Good,21.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 12:00 AM,2020,03,19,00,22.0,20,Good,21.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 01:00 AM,2020,03,19,01,22.0,20,Good,20.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 02:00 AM,2020,03,19,02,21.0,19,Good,20.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 03:00 AM,2020,03,19,03,21.0,19,Good,19.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 04:00 AM,2020,03,19,04,18.0,17,Good,16.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 05:00 AM,2020,03,19,05,14.0,13,Good,11.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 06:00 AM,2020,03,19,06,12.0,11,Good,9.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 07:00 AM,2020,03,19,07,7.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 08:00 AM,2020,03,19,08,6.0,6,Good,2.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 09:00 AM,2020,03,19,09,13.0,12,Good,10.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 10:00 AM,2020,03,19,10,21.0,19,Good,19.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 11:00 AM,2020,03,19,11,27.0,25,Good,27.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 12:00 PM,2020,03,19,12,31.0,29,Good,31.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 01:00 PM,2020,03,19,13,31.0,29,Good,31.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 02:00 PM,2020,03,19,14,30.0,28,Good,30.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 03:00 PM,2020,03,19,15,30.0,28,Good,30.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 04:00 PM,2020,03,19,16,28.0,26,Good,28.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 05:00 PM,2020,03,19,17,23.0,21,Good,22.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 06:00 PM,2020,03,19,18,20.0,19,Good,18.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 07:00 PM,2020,03,19,19,14.0,13,Good,11.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 08:00 PM,2020,03,19,20,16.0,15,Good,14.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 09:00 PM,2020,03,19,21,14.0,13,Good,11.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 10:00 PM,2020,03,19,22,17.0,16,Good,14.0,PPB,1 Hr,Valid
Rangoon,O3,2020-03-19 11:00 PM,2020,03,19,23,18.0,17,Good,16.0,PPB,1 Hr,Valid
