Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Riyadh,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,-999.0,-999,N/A,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,35.8,102,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,36.3,103,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,35.2,100,Moderate,33.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,33.9,97,Moderate,31.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,34.5,98,Moderate,36.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,33.8,97,Moderate,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,34.3,98,Moderate,36.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,34.5,98,Moderate,35.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,34.6,98,Moderate,35.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,34.2,97,Moderate,33.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,33.9,97,Moderate,33.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,33.3,96,Moderate,31.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,33.1,95,Moderate,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,30.7,90,Moderate,26.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,28.8,86,Moderate,25.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,27.9,84,Moderate,26.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,27.6,84,Moderate,27.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,27.4,83,Moderate,27.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,28.7,86,Moderate,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,25.2,79,Moderate,20.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,28.0,84,Moderate,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,27.6,84,Moderate,27.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,29.7,88,Moderate,33.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,28.2,85,Moderate,26.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,28.5,85,Moderate,29.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,29.1,87,Moderate,30.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,28.6,86,Moderate,28.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,28.4,85,Moderate,28.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,29.8,88,Moderate,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,32.6,94,Moderate,36.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,38.0,107,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,37.9,107,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 03:00 PM,2020,01,02,15,37.9,107,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 04:00 PM,2020,01,02,16,37.5,106,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 05:00 PM,2020,01,02,17,37.7,106,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 06:00 PM,2020,01,02,18,37.7,106,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 07:00 PM,2020,01,02,19,38.5,108,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 08:00 PM,2020,01,02,20,41.0,115,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 09:00 PM,2020,01,02,21,40.6,114,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 10:00 PM,2020,01,02,22,38.2,108,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-02 11:00 PM,2020,01,02,23,37.9,107,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-03 12:00 AM,2020,01,03,00,37.7,106,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2020-01-03 01:00 AM,2020,01,03,01,37.7,106,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
