Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Riyadh,PM2.5 - Principal,2021-11-01 01:00 AM,2021,11,01,01,83.7,166,Unhealthy,48.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 02:00 AM,2021,11,01,02,61.3,154,Unhealthy,39.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 03:00 AM,2021,11,01,03,53.1,144,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 04:00 AM,2021,11,01,04,48.0,132,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 05:00 AM,2021,11,01,05,44.5,123,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 06:00 AM,2021,11,01,06,43.2,120,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 07:00 AM,2021,11,01,07,40.6,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 08:00 AM,2021,11,01,08,45.3,125,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 09:00 AM,2021,11,01,09,53.6,146,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 10:00 AM,2021,11,01,10,127.3,188,Unhealthy,201.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 11:00 AM,2021,11,01,11,88.1,168,Unhealthy,49.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 12:00 PM,2021,11,01,12,72.5,160,Unhealthy,57.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 01:00 PM,2021,11,01,13,63.2,155,Unhealthy,54.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 02:00 PM,2021,11,01,14,53.6,146,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 03:00 PM,2021,11,01,15,48.8,134,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 04:00 PM,2021,11,01,16,160.9,211,Very Unhealthy,273.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 05:00 PM,2021,11,01,17,281.5,332,Hazardous,402.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 06:00 PM,2021,11,01,18,166.2,217,Very Unhealthy,51.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 07:00 PM,2021,11,01,19,99.1,174,Unhealthy,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 08:00 PM,2021,11,01,20,66.5,157,Unhealthy,34.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 09:00 PM,2021,11,01,21,49.2,135,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 10:00 PM,2021,11,01,22,106.1,177,Unhealthy,163.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-01 11:00 PM,2021,11,01,23,72.0,160,Unhealthy,38.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 12:00 AM,2021,11,02,00,57.5,152,Unhealthy,43.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 01:00 AM,2021,11,02,01,92.2,170,Unhealthy,127.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 02:00 AM,2021,11,02,02,71.6,159,Unhealthy,51.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 03:00 AM,2021,11,02,03,62.8,155,Unhealthy,54.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 04:00 AM,2021,11,02,04,58.3,152,Unhealthy,54.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 05:00 AM,2021,11,02,05,54.1,147,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 06:00 AM,2021,11,02,06,47.5,131,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 07:00 AM,2021,11,02,07,41.7,116,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 08:00 AM,2021,11,02,08,39.3,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 09:00 AM,2021,11,02,09,39.6,111,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 10:00 AM,2021,11,02,10,38.8,109,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 11:00 AM,2021,11,02,11,39.4,111,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 12:00 PM,2021,11,02,12,36.2,103,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 01:00 PM,2021,11,02,13,28.5,85,Moderate,21.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 02:00 PM,2021,11,02,14,29.2,87,Moderate,30.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 03:00 PM,2021,11,02,15,28.6,86,Moderate,28.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 04:00 PM,2021,11,02,16,25.8,80,Moderate,23.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 05:00 PM,2021,11,02,17,24.4,77,Moderate,23.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 06:00 PM,2021,11,02,18,24.7,77,Moderate,25.0,UG/M3,1 Hr,Valid
Riyadh,PM2.5 - Principal,2021-11-02 07:00 PM,2021,11,02,19,26.7,82,Moderate,29.0,UG/M3,1 Hr,Valid
