Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
San Jose,PM2.5 - Principal,2019-09-02 08:00 AM,2019,09,02,08,-999.0,-999,N/A,8.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 09:00 AM,2019,09,02,09,7.4,31,Good,7.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 10:00 AM,2019,09,02,10,8.0,33,Good,9.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 11:00 AM,2019,09,02,11,8.0,33,Good,8.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 12:00 PM,2019,09,02,12,8.0,33,Good,8.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 01:00 PM,2019,09,02,13,9.2,38,Good,11.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 02:00 PM,2019,09,02,14,8.7,36,Good,8.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 03:00 PM,2019,09,02,15,6.8,28,Good,5.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 04:00 PM,2019,09,02,16,9.4,39,Good,12.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 05:00 PM,2019,09,02,17,9.7,40,Good,10.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 06:00 PM,2019,09,02,18,12.8,52,Moderate,16.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 07:00 PM,2019,09,02,19,15.4,58,Moderate,18.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 08:00 PM,2019,09,02,20,19.7,67,Moderate,24.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 09:00 PM,2019,09,02,21,20.3,68,Moderate,21.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 10:00 PM,2019,09,02,22,20.1,68,Moderate,20.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-02 11:00 PM,2019,09,02,23,22.5,73,Moderate,25.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 12:00 AM,2019,09,03,00,24.2,76,Moderate,26.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 01:00 AM,2019,09,03,01,25.6,79,Moderate,27.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 02:00 AM,2019,09,03,02,21.3,70,Moderate,17.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 03:00 AM,2019,09,03,03,17.6,63,Moderate,14.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 04:00 AM,2019,09,03,04,13.3,54,Moderate,9.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 05:00 AM,2019,09,03,05,12.1,51,Moderate,11.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 06:00 AM,2019,09,03,06,16.0,59,Moderate,20.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 07:00 AM,2019,09,03,07,16.0,59,Moderate,16.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 08:00 AM,2019,09,03,08,13.5,54,Moderate,11.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 09:00 AM,2019,09,03,09,11.7,49,Good,10.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 10:00 AM,2019,09,03,10,11.8,49,Good,12.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 11:00 AM,2019,09,03,11,10.4,43,Good,9.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 12:00 PM,2019,09,03,12,8.2,34,Good,6.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 01:00 PM,2019,09,03,13,6.6,28,Good,5.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 02:00 PM,2019,09,03,14,8.3,35,Good,10.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 03:00 PM,2019,09,03,15,8.1,34,Good,8.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 04:00 PM,2019,09,03,16,9.0,38,Good,10.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 05:00 PM,2019,09,03,17,8.5,35,Good,8.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2019-09-03 06:00 PM,2019,09,03,18,10.7,45,Good,13.0,UG/M3,1 Hr,Valid
