Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
San Jose,PM2.5 - Principal,2021-04-01 01:00 AM,2021,04,01,01,2.2,9,Good,2.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 02:00 AM,2021,04,01,02,3.1,13,Good,4.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 03:00 AM,2021,04,01,03,5.1,21,Good,7.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 04:00 AM,2021,04,01,04,5.0,21,Good,5.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 05:00 AM,2021,04,01,05,3.5,15,Good,2.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 06:00 AM,2021,04,01,06,3.2,13,Good,3.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 07:00 AM,2021,04,01,07,4.6,19,Good,6.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 08:00 AM,2021,04,01,08,4.3,18,Good,4.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 09:00 AM,2021,04,01,09,4.1,17,Good,4.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 10:00 AM,2021,04,01,10,4.1,17,Good,-15.0,UG/M3,1 Hr,Invalid
San Jose,PM2.5 - Principal,2021-04-01 11:00 AM,2021,04,01,11,-999.0,-999,N/A,-15.0,UG/M3,1 Hr,Invalid
San Jose,PM2.5 - Principal,2021-04-01 12:00 PM,2021,04,01,12,-999.0,-999,N/A,4.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 01:00 PM,2021,04,01,13,4.6,19,Good,5.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 02:00 PM,2021,04,01,14,5.3,22,Good,6.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 03:00 PM,2021,04,01,15,6.2,26,Good,7.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 04:00 PM,2021,04,01,16,6.6,28,Good,7.0,UG/M3,1 Hr,Valid
San Jose,PM2.5 - Principal,2021-04-01 05:00 PM,2021,04,01,17,6.6,28,Good,-999.0,UG/M3,1 Hr,Missing
San Jose,PM2.5 - Principal,2021-04-01 07:00 PM,2021,04,01,19,-999.0,-999,N/A,9.0,UG/M3,1 Hr,Valid
