Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sao Paulo,PM2.5 - Principal,2023-11-01 01:00 AM,2023,11,01,01,8.8,37,Good,6.6,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 02:00 AM,2023,11,01,02,5.9,25,Good,3.1,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 03:00 AM,2023,11,01,03,3.6,15,Good,1.4,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 04:00 AM,2023,11,01,04,2.3,10,Good,1.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 05:00 AM,2023,11,01,05,1.6,7,Good,0.8,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 06:00 AM,2023,11,01,06,1.0,4,Good,0.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 07:00 AM,2023,11,01,07,1.2,5,Good,1.4,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 08:00 AM,2023,11,01,08,2.2,9,Good,3.1,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 09:00 AM,2023,11,01,09,2.4,10,Good,2.6,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 10:00 AM,2023,11,01,10,2.4,10,Good,2.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 11:00 AM,2023,11,01,11,2.3,10,Good,2.2,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 12:00 PM,2023,11,01,12,1.9,8,Good,1.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 01:00 PM,2023,11,01,13,1.6,7,Good,1.4,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 02:00 PM,2023,11,01,14,1.6,7,Good,1.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 03:00 PM,2023,11,01,15,1.4,6,Good,1.1,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 04:00 PM,2023,11,01,16,1.6,7,Good,1.9,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 05:00 PM,2023,11,01,17,1.4,6,Good,1.2,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 06:00 PM,2023,11,01,18,1.8,8,Good,2.1,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 07:00 PM,2023,11,01,19,2.4,10,Good,3.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 08:00 PM,2023,11,01,20,2.7,11,Good,2.9,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 09:00 PM,2023,11,01,21,2.3,10,Good,2.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 10:00 PM,2023,11,01,22,2.5,10,Good,2.6,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-01 11:00 PM,2023,11,01,23,3.0,13,Good,3.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 12:00 AM,2023,11,02,00,4.1,17,Good,5.2,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 01:00 AM,2023,11,02,01,3.8,16,Good,3.6,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 02:00 AM,2023,11,02,02,2.9,12,Good,2.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 03:00 AM,2023,11,02,03,2.4,10,Good,1.8,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 04:00 AM,2023,11,02,04,1.9,8,Good,1.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 05:00 AM,2023,11,02,05,3.8,16,Good,5.6,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 06:00 AM,2023,11,02,06,3.9,16,Good,4.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 07:00 AM,2023,11,02,07,3.4,14,Good,3.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 08:00 AM,2023,11,02,08,4.7,20,Good,6.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2023-11-02 09:00 AM,2023,11,02,09,6.6,28,Good,8.6,UG/M3,1 Hr,Valid
