Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sao Paulo,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,13.3,59,Moderate,16.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,14.5,61,Moderate,15.6,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,12.1,57,Moderate,9.7,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,10.4,53,Moderate,8.7,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,9.1,51,Moderate,7.9,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,8.9,49,Good,8.7,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,9.1,51,Moderate,9.2,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,9.0,50,Good,8.9,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,8.2,46,Good,7.3,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,7.5,42,Good,6.8,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,7.0,39,Good,6.6,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,10.4,53,Moderate,13.7,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,11.0,55,Moderate,11.7,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,13.3,59,Moderate,15.5,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,13.1,58,Moderate,13.0,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,13.2,59,Moderate,13.3,UG/M3,1 Hr,Valid
Sao Paulo,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,13.7,60,Moderate,14.1,UG/M3,1 Hr,Valid
