Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2019-02-01 01:00 AM,2019,02,01,01,72.6,160,Unhealthy,71.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 02:00 AM,2019,02,01,02,40.8,114,Unhealthy for Sensitive Groups,9.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 03:00 AM,2019,02,01,03,23.8,76,Moderate,7.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 04:00 AM,2019,02,01,04,13.9,55,Moderate,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 05:00 AM,2019,02,01,05,9.4,39,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 06:00 AM,2019,02,01,06,6.7,28,Good,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 07:00 AM,2019,02,01,07,4.8,20,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 08:00 AM,2019,02,01,08,5.8,24,Good,7.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 09:00 AM,2019,02,01,09,5.9,25,Good,6.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 10:00 AM,2019,02,01,10,4.4,18,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 11:00 AM,2019,02,01,11,3.7,15,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 12:00 PM,2019,02,01,12,2.8,12,Good,2.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 01:00 PM,2019,02,01,13,2.9,12,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 02:00 PM,2019,02,01,14,4.4,18,Good,6.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 03:00 PM,2019,02,01,15,4.7,20,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 04:00 PM,2019,02,01,16,3.8,16,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 05:00 PM,2019,02,01,17,3.4,14,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 06:00 PM,2019,02,01,18,7.7,32,Good,12.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 07:00 PM,2019,02,01,19,7.3,30,Good,7.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 08:00 PM,2019,02,01,20,6.1,25,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 09:00 PM,2019,02,01,21,5.5,23,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 10:00 PM,2019,02,01,22,4.7,20,Good,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-01 11:00 PM,2019,02,01,23,4.3,18,Good,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 12:00 AM,2019,02,02,00,3.6,15,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 01:00 AM,2019,02,02,01,2.8,12,Good,2.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 02:00 AM,2019,02,02,02,2.4,10,Good,2.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 03:00 AM,2019,02,02,03,2.7,11,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 04:00 AM,2019,02,02,04,4.3,18,Good,6.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 05:00 AM,2019,02,02,05,4.6,19,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 06:00 AM,2019,02,02,06,3.8,16,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 07:00 AM,2019,02,02,07,3.4,14,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 08:00 AM,2019,02,02,08,3.7,15,Good,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 09:00 AM,2019,02,02,09,4.8,20,Good,6.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 10:00 AM,2019,02,02,10,4.9,20,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-02-02 11:00 AM,2019,02,02,11,5.4,23,Good,6.0,UG/M3,1 Hr,Valid
