Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2025-01-01 01:00 AM,2025,01,01,01,186.2,261,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 02:00 AM,2025,01,01,02,182.8,258,Very Unhealthy,168.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 03:00 AM,2025,01,01,03,172.3,247,Very Unhealthy,150.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 04:00 AM,2025,01,01,04,167.4,243,Very Unhealthy,155.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 05:00 AM,2025,01,01,05,150.4,226,Very Unhealthy,129.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 06:00 AM,2025,01,01,06,139.1,214,Very Unhealthy,124.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 07:00 AM,2025,01,01,07,137.7,213,Very Unhealthy,133.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 08:00 AM,2025,01,01,08,132.6,208,Very Unhealthy,124.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 09:00 AM,2025,01,01,09,127.7,203,Very Unhealthy,121.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 10:00 AM,2025,01,01,10,127.3,203,Very Unhealthy,127.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 11:00 AM,2025,01,01,11,129.1,205,Very Unhealthy,132.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 12:00 PM,2025,01,01,12,134.0,209,Very Unhealthy,142.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 01:00 PM,2025,01,01,13,141.9,217,Very Unhealthy,164.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 02:00 PM,2025,01,01,14,159.4,235,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 03:00 PM,2025,01,01,15,190.0,265,Very Unhealthy,220.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 04:00 PM,2025,01,01,16,199.4,274,Very Unhealthy,211.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 05:00 PM,2025,01,01,17,208.7,283,Very Unhealthy,220.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 06:00 PM,2025,01,01,18,253.1,356,Hazardous,295.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 07:00 PM,2025,01,01,19,276.6,403,Hazardous,300.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2025-01-01 08:00 PM,2025,01,01,20,277.8,405,Hazardous,279.0,UG/M3,1 Hr,Valid
