Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shanghai,PM2.5 - Principal,2012-01-01 01:00 AM,2012,01,01,01,109.6,179,Unhealthy,112.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 02:00 AM,2012,01,01,02,111.3,180,Unhealthy,113.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 03:00 AM,2012,01,01,03,113.1,181,Unhealthy,115.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 04:00 AM,2012,01,01,04,126.4,188,Unhealthy,144.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 05:00 AM,2012,01,01,05,134.7,192,Unhealthy,152.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 06:00 AM,2012,01,01,06,135.3,192,Unhealthy,138.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 07:00 AM,2012,01,01,07,135.6,192,Unhealthy,136.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 08:00 AM,2012,01,01,08,134.7,192,Unhealthy,133.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 09:00 AM,2012,01,01,09,134.5,192,Unhealthy,134.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 10:00 AM,2012,01,01,10,133.2,191,Unhealthy,131.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 11:00 AM,2012,01,01,11,121.9,185,Unhealthy,100.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 12:00 PM,2012,01,01,12,113.1,181,Unhealthy,98.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 01:00 PM,2012,01,01,13,87.5,168,Unhealthy,68.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 02:00 PM,2012,01,01,14,79.2,163,Unhealthy,71.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 03:00 PM,2012,01,01,15,78.6,163,Unhealthy,78.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 04:00 PM,2012,01,01,16,81.8,165,Unhealthy,85.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 05:00 PM,2012,01,01,17,88.9,168,Unhealthy,96.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 06:00 PM,2012,01,01,18,115.9,182,Unhealthy,143.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 07:00 PM,2012,01,01,19,133.4,191,Unhealthy,151.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 08:00 PM,2012,01,01,20,147.7,199,Unhealthy,162.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2012-01-01 09:00 PM,2012,01,01,21,130.3,190,Unhealthy,113.0,UG/M3,1 Hr,Valid
