Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shanghai,PM2.5 - Principal,2023-02-01 01:00 AM,2023,02,01,01,44.4,123,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 02:00 AM,2023,02,01,02,46.7,129,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 03:00 AM,2023,02,01,03,46.8,129,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 04:00 AM,2023,02,01,04,44.4,123,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 05:00 AM,2023,02,01,05,44.3,123,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 06:00 AM,2023,02,01,06,45.6,126,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 07:00 AM,2023,02,01,07,43.3,120,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 08:00 AM,2023,02,01,08,45.1,125,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 09:00 AM,2023,02,01,09,46.5,128,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 10:00 AM,2023,02,01,10,52.8,144,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 11:00 AM,2023,02,01,11,55.8,151,Unhealthy,61.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 12:00 PM,2023,02,01,12,51.4,140,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 01:00 PM,2023,02,01,13,47.9,132,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 02:00 PM,2023,02,01,14,48.7,134,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 03:00 PM,2023,02,01,15,59.8,153,Unhealthy,73.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 04:00 PM,2023,02,01,16,56.1,151,Unhealthy,52.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 05:00 PM,2023,02,01,17,55.6,151,Unhealthy,55.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 06:00 PM,2023,02,01,18,43.3,120,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 07:00 PM,2023,02,01,19,42.6,118,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 08:00 PM,2023,02,01,20,35.8,102,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 09:00 PM,2023,02,01,21,30.9,91,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 10:00 PM,2023,02,01,22,26.4,81,Moderate,22.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-01 11:00 PM,2023,02,01,23,19.2,66,Moderate,12.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 12:00 AM,2023,02,02,00,15.1,57,Moderate,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 01:00 AM,2023,02,02,01,11.0,46,Good,7.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 02:00 AM,2023,02,02,02,11.0,46,Good,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 03:00 AM,2023,02,02,03,10.0,42,Good,9.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 04:00 AM,2023,02,02,04,8.9,37,Good,8.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 05:00 AM,2023,02,02,05,8.4,35,Good,8.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 06:00 AM,2023,02,02,06,9.7,40,Good,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 07:00 AM,2023,02,02,07,11.3,47,Good,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 08:00 AM,2023,02,02,08,11.1,46,Good,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 09:00 AM,2023,02,02,09,10.5,44,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 10:00 AM,2023,02,02,10,10.3,43,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 11:00 AM,2023,02,02,11,11.5,48,Good,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 12:00 PM,2023,02,02,12,14.8,57,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 01:00 PM,2023,02,02,13,16.4,60,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 02:00 PM,2023,02,02,14,19.7,67,Moderate,23.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 03:00 PM,2023,02,02,15,18.3,64,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 04:00 PM,2023,02,02,16,17.6,63,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 05:00 PM,2023,02,02,17,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 06:00 PM,2023,02,02,18,15.6,58,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 07:00 PM,2023,02,02,19,14.3,56,Moderate,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 08:00 PM,2023,02,02,20,17.6,63,Moderate,21.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 09:00 PM,2023,02,02,21,17.8,63,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 10:00 PM,2023,02,02,22,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-02 11:00 PM,2023,02,02,23,15.9,59,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-03 12:00 AM,2023,02,03,00,16.3,60,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2023-02-03 01:00 AM,2023,02,03,01,16.2,60,Moderate,16.0,UG/M3,1 Hr,Valid
