Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shenyang,PM2.5 - Principal,2022-04-01 01:00 AM,2022,04,01,01,14.7,56,Moderate,16.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 02:00 AM,2022,04,01,02,17.8,63,Moderate,21.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 03:00 AM,2022,04,01,03,18.9,65,Moderate,20.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 04:00 AM,2022,04,01,04,19.4,66,Moderate,20.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 05:00 AM,2022,04,01,05,17.7,63,Moderate,16.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 06:00 AM,2022,04,01,06,20.8,69,Moderate,24.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 07:00 AM,2022,04,01,07,20.8,69,Moderate,-999.0,UG/M3,1 Hr,Missing
Shenyang,PM2.5 - Principal,2022-04-01 08:00 AM,2022,04,01,08,14.9,57,Moderate,12.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 09:00 AM,2022,04,01,09,24.1,76,Moderate,31.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 10:00 AM,2022,04,01,10,22.4,73,Moderate,21.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 11:00 AM,2022,04,01,11,21.1,70,Moderate,20.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 12:00 PM,2022,04,01,12,22.6,73,Moderate,24.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 01:00 PM,2022,04,01,13,19.7,67,Moderate,17.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 02:00 PM,2022,04,01,14,19.8,67,Moderate,20.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 03:00 PM,2022,04,01,15,19.9,67,Moderate,20.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 04:00 PM,2022,04,01,16,19.9,67,Moderate,20.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 05:00 PM,2022,04,01,17,17.4,62,Moderate,15.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 06:00 PM,2022,04,01,18,17.2,62,Moderate,17.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 07:00 PM,2022,04,01,19,12.1,51,Moderate,7.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 08:00 PM,2022,04,01,20,8.0,33,Good,4.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 09:00 PM,2022,04,01,21,4.0,17,Good,0.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 10:00 PM,2022,04,01,22,6.5,27,Good,9.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-01 11:00 PM,2022,04,01,23,15.2,58,Moderate,24.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-02 12:00 AM,2022,04,02,00,25.6,79,Moderate,36.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-02 01:00 AM,2022,04,02,01,25.8,80,Moderate,26.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-02 02:00 AM,2022,04,02,02,20.4,68,Moderate,15.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2022-04-02 03:00 AM,2022,04,02,03,23.7,75,Moderate,27.0,UG/M3,1 Hr,Valid
