Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shenyang,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,65.4,158,Unhealthy,80.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,63.7,157,Unhealthy,62.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,76.8,166,Unhealthy,90.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,105.9,186,Unhealthy,135.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,118.4,195,Unhealthy,131.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,120.7,197,Unhealthy,123.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,132.8,208,Very Unhealthy,145.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,131.9,207,Very Unhealthy,131.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,123.4,199,Unhealthy,115.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,118.2,195,Unhealthy,113.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,123.6,199,Unhealthy,129.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,124.3,199,Unhealthy,125.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,127.1,203,Very Unhealthy,130.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,118.2,195,Unhealthy,105.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,108.8,188,Unhealthy,92.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,107.3,187,Unhealthy,105.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,97.3,180,Unhealthy,85.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,79.8,168,Unhealthy,65.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,69.9,161,Unhealthy,60.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,66.9,159,Unhealthy,64.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,73.4,164,Unhealthy,80.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,76.7,166,Unhealthy,80.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,76.8,166,Unhealthy,77.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,72.9,163,Unhealthy,69.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,71.0,162,Unhealthy,68.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,66.7,159,Unhealthy,61.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,65.1,158,Unhealthy,63.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,66.8,159,Unhealthy,67.0,UG/M3,1 Hr,Valid
