Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Tashkent,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,113.5,181,Unhealthy,130.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,112.2,180,Unhealthy,111.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 03:00 AM,2019,01,01,03,82.1,165,Unhealthy,52.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 04:00 AM,2019,01,01,04,72.0,160,Unhealthy,62.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 05:00 AM,2019,01,01,05,69.0,158,Unhealthy,66.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 06:00 AM,2019,01,01,06,117.5,183,Unhealthy,166.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 07:00 AM,2019,01,01,07,138.7,194,Unhealthy,160.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 08:00 AM,2019,01,01,08,107.3,178,Unhealthy,76.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 09:00 AM,2019,01,01,09,84.6,166,Unhealthy,62.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 10:00 AM,2019,01,01,10,69.3,158,Unhealthy,54.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 11:00 AM,2019,01,01,11,64.1,155,Unhealthy,59.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 12:00 PM,2019,01,01,12,59.0,153,Unhealthy,54.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 01:00 PM,2019,01,01,13,57.5,152,Unhealthy,56.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2019-01-01 02:00 PM,2019,01,01,14,51.2,140,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
