Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Tashkent,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,23.6,75,Moderate,29.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,19.3,66,Moderate,15.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,16.6,60,Moderate,14.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,16.3,60,Moderate,16.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,16.1,59,Moderate,16.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,16.0,59,Moderate,16.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,18.0,63,Moderate,20.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,29.0,87,Moderate,40.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,31.5,92,Moderate,34.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,31.2,91,Moderate,31.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,33.1,95,Moderate,35.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,32.0,93,Moderate,31.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,35.5,101,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,33.7,96,Moderate,32.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,34.8,99,Moderate,36.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,34.4,98,Moderate,34.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,40.7,114,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,46.3,128,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,57.1,152,Unhealthy,68.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,56.0,151,Unhealthy,55.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,55.5,151,Unhealthy,55.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,50.2,137,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,49.1,134,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,44.5,123,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,50.2,137,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,50.6,138,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,46.3,128,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,44.9,124,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,43.2,120,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,41.3,115,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,40.9,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,41.5,116,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,45.5,126,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,47.0,129,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 11:00 AM,2022,01,02,11,46.3,128,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 12:00 PM,2022,01,02,12,45.6,126,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 01:00 PM,2022,01,02,13,46.2,127,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 02:00 PM,2022,01,02,14,43.3,120,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 03:00 PM,2022,01,02,15,31.4,92,Moderate,21.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 04:00 PM,2022,01,02,16,25.2,79,Moderate,19.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 05:00 PM,2022,01,02,17,24.1,76,Moderate,23.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 06:00 PM,2022,01,02,18,26.5,81,Moderate,29.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 07:00 PM,2022,01,02,19,27.7,84,Moderate,29.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 08:00 PM,2022,01,02,20,31.3,91,Moderate,35.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 09:00 PM,2022,01,02,21,23.6,75,Moderate,16.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 10:00 PM,2022,01,02,22,21.3,70,Moderate,19.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-02 11:00 PM,2022,01,02,23,26.6,81,Moderate,32.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 12:00 AM,2022,01,03,00,37.3,105,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 01:00 AM,2022,01,03,01,35.1,99,Moderate,33.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 02:00 AM,2022,01,03,02,25.5,79,Moderate,16.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 03:00 AM,2022,01,03,03,19.2,66,Moderate,13.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 04:00 AM,2022,01,03,04,15.6,58,Moderate,12.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 05:00 AM,2022,01,03,05,12.8,52,Moderate,10.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 06:00 AM,2022,01,03,06,14.9,57,Moderate,17.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 07:00 AM,2022,01,03,07,19.4,66,Moderate,24.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 08:00 AM,2022,01,03,08,27.7,84,Moderate,36.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 09:00 AM,2022,01,03,09,27.3,83,Moderate,27.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 10:00 AM,2022,01,03,10,20.6,69,Moderate,14.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 11:00 AM,2022,01,03,11,16.8,61,Moderate,13.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 12:00 PM,2022,01,03,12,14.9,57,Moderate,13.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 01:00 PM,2022,01,03,13,12.9,53,Moderate,11.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 02:00 PM,2022,01,03,14,12.9,53,Moderate,13.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 03:00 PM,2022,01,03,15,14.9,57,Moderate,17.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 04:00 PM,2022,01,03,16,13.4,54,Moderate,12.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 05:00 PM,2022,01,03,17,13.2,53,Moderate,13.0,UG/M3,1 Hr,Valid
Tashkent,PM2.5 - Principal,2022-01-03 06:00 PM,2022,01,03,18,17.1,62,Moderate,21.0,UG/M3,1 Hr,Valid
