Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Tashkent,O3,2023-03-01 01:00 AM,2023,03,01,01,23.0,21,Good,22.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 02:00 AM,2023,03,01,02,29.0,27,Good,29.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 03:00 AM,2023,03,01,03,31.0,29,Good,31.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 04:00 AM,2023,03,01,04,33.0,31,Good,33.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 05:00 AM,2023,03,01,05,34.0,31,Good,35.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 06:00 AM,2023,03,01,06,11.0,10,Good,8.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 07:00 AM,2023,03,01,07,6.0,6,Good,1.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 08:00 AM,2023,03,01,08,6.0,6,Good,2.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 09:00 AM,2023,03,01,09,8.0,7,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 10:00 AM,2023,03,01,10,11.0,10,Good,8.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 11:00 AM,2023,03,01,11,22.0,20,Good,21.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 12:00 PM,2023,03,01,12,30.0,28,Good,30.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 01:00 PM,2023,03,01,13,27.0,25,Good,26.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 02:00 PM,2023,03,01,14,26.0,24,Good,25.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 03:00 PM,2023,03,01,15,31.0,29,Good,31.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 04:00 PM,2023,03,01,16,34.0,31,Good,35.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 05:00 PM,2023,03,01,17,36.0,33,Good,38.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 06:00 PM,2023,03,01,18,24.0,22,Good,23.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 07:00 PM,2023,03,01,19,8.0,7,Good,4.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 08:00 PM,2023,03,01,20,5.0,5,Good,1.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 09:00 PM,2023,03,01,21,5.0,5,Good,0.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 10:00 PM,2023,03,01,22,5.0,5,Good,0.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-01 11:00 PM,2023,03,01,23,5.0,5,Good,0.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-02 12:00 AM,2023,03,02,00,4.0,4,Good,0.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-02 01:00 AM,2023,03,02,01,5.0,5,Good,0.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-02 02:00 AM,2023,03,02,02,10.0,9,Good,6.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-02 03:00 AM,2023,03,02,03,33.0,31,Good,33.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-02 04:00 AM,2023,03,02,04,33.0,31,Good,-999.0,PPB,1 Hr,Missing
Tashkent,O3,2023-03-02 05:00 AM,2023,03,02,05,33.0,31,Good,-999.0,PPB,1 Hr,Missing
Tashkent,O3,2023-03-06 05:00 AM,2023,03,06,05,16.0,15,Good,14.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-06 06:00 AM,2023,03,06,06,20.0,19,Good,19.0,PPB,1 Hr,Valid
Tashkent,O3,2023-03-06 07:00 AM,2023,03,06,07,12.0,11,Good,9.0,PPB,1 Hr,Valid
