Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Tashkent,O3,2025-01-01 01:00 AM,2025,01,01,01,7.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 02:00 AM,2025,01,01,02,8.0,7,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 03:00 AM,2025,01,01,03,7.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 04:00 AM,2025,01,01,04,6.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 05:00 AM,2025,01,01,05,6.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 06:00 AM,2025,01,01,06,7.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 07:00 AM,2025,01,01,07,8.0,7,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 08:00 AM,2025,01,01,08,9.0,8,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 09:00 AM,2025,01,01,09,10.0,9,Good,6.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 10:00 AM,2025,01,01,10,9.0,8,Good,11.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 11:00 AM,2025,01,01,11,8.0,7,Good,9.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 12:00 PM,2025,01,01,12,9.0,8,Good,8.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 01:00 PM,2025,01,01,13,12.0,11,Good,13.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 02:00 PM,2025,01,01,14,13.0,12,Good,11.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 03:00 PM,2025,01,01,15,8.0,7,Good,7.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 04:00 PM,2025,01,01,16,6.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 05:00 PM,2025,01,01,17,6.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 06:00 PM,2025,01,01,18,6.0,6,Good,5.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 07:00 PM,2025,01,01,19,5.0,5,Good,4.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 08:00 PM,2025,01,01,20,5.0,5,Good,4.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 09:00 PM,2025,01,01,21,4.0,4,Good,4.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 10:00 PM,2025,01,01,22,5.0,5,Good,4.0,PPB,1 Hr,Valid
Tashkent,O3,2025-01-01 11:00 PM,2025,01,01,23,6.0,6,Good,4.0,PPB,1 Hr,Valid
