Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Tijuana,PM2.5 - Principal,2022-06-01 02:00 AM,2022,06,01,02,23.2,74,Moderate,26.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 03:00 AM,2022,06,01,03,24.8,78,Moderate,27.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 04:00 AM,2022,06,01,04,26.1,80,Moderate,27.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 05:00 AM,2022,06,01,05,26.9,82,Moderate,28.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 06:00 AM,2022,06,01,06,25.6,79,Moderate,23.8,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 07:00 AM,2022,06,01,07,24.7,77,Moderate,23.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 08:00 AM,2022,06,01,08,25.0,78,Moderate,25.4,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 09:00 AM,2022,06,01,09,24.4,77,Moderate,23.4,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 10:00 AM,2022,06,01,10,24.5,77,Moderate,24.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 11:00 AM,2022,06,01,11,24.4,77,Moderate,23.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 12:00 PM,2022,06,01,12,25.8,80,Moderate,29.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 01:00 PM,2022,06,01,13,26.1,80,Moderate,27.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 02:00 PM,2022,06,01,14,26.4,81,Moderate,27.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 03:00 PM,2022,06,01,15,25.8,80,Moderate,23.8,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 04:00 PM,2022,06,01,16,25.3,79,Moderate,23.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 05:00 PM,2022,06,01,17,23.2,74,Moderate,19.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 06:00 PM,2022,06,01,18,20.6,69,Moderate,17.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 07:00 PM,2022,06,01,19,18.4,64,Moderate,16.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 08:00 PM,2022,06,01,20,17.5,62,Moderate,16.5,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 09:00 PM,2022,06,01,21,17.3,62,Moderate,17.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 10:00 PM,2022,06,01,22,17.0,61,Moderate,16.5,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-01 11:00 PM,2022,06,01,23,17.4,62,Moderate,17.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 12:00 AM,2022,06,02,00,17.8,63,Moderate,18.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 01:00 AM,2022,06,02,01,17.6,63,Moderate,17.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 02:00 AM,2022,06,02,02,17.6,63,Moderate,17.5,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 03:00 AM,2022,06,02,03,18.0,63,Moderate,18.8,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 04:00 AM,2022,06,02,04,18.2,64,Moderate,19.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 05:00 AM,2022,06,02,05,19.2,66,Moderate,21.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 06:00 AM,2022,06,02,06,20.2,68,Moderate,22.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 07:00 AM,2022,06,02,07,25.8,80,Moderate,31.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 08:00 AM,2022,06,02,08,32.2,93,Moderate,38.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 09:00 AM,2022,06,02,09,40.9,114,Unhealthy for Sensitive Groups,49.5,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 10:00 AM,2022,06,02,10,38.8,109,Unhealthy for Sensitive Groups,36.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 11:00 AM,2022,06,02,11,41.5,116,Unhealthy for Sensitive Groups,44.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 12:00 PM,2022,06,02,12,33.6,96,Moderate,25.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 01:00 PM,2022,06,02,13,30.1,89,Moderate,26.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 02:00 PM,2022,06,02,14,26.8,82,Moderate,23.5,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 03:00 PM,2022,06,02,15,23.5,75,Moderate,20.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 04:00 PM,2022,06,02,16,21.7,71,Moderate,20.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 05:00 PM,2022,06,02,17,20.5,69,Moderate,19.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 06:00 PM,2022,06,02,18,18.6,65,Moderate,16.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 07:00 PM,2022,06,02,19,15.9,59,Moderate,13.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 08:00 PM,2022,06,02,20,15.4,58,Moderate,14.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 09:00 PM,2022,06,02,21,15.9,59,Moderate,16.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 10:00 PM,2022,06,02,22,17.8,63,Moderate,19.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-02 11:00 PM,2022,06,02,23,20.9,70,Moderate,23.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 12:00 AM,2022,06,03,00,24.9,78,Moderate,28.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 01:00 AM,2022,06,03,01,30.0,89,Moderate,35.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 02:00 AM,2022,06,03,02,37.1,105,Unhealthy for Sensitive Groups,44.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 03:00 AM,2022,06,03,03,41.0,115,Unhealthy for Sensitive Groups,44.8,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 04:00 AM,2022,06,03,04,35.3,100,Moderate,29.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 05:00 AM,2022,06,03,05,35.3,100,Moderate,35.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 06:00 AM,2022,06,03,06,40.0,112,Unhealthy for Sensitive Groups,44.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 07:00 AM,2022,06,03,07,43.3,120,Unhealthy for Sensitive Groups,46.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 08:00 AM,2022,06,03,08,48.8,134,Unhealthy for Sensitive Groups,54.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 09:00 AM,2022,06,03,09,45.5,126,Unhealthy for Sensitive Groups,42.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 10:00 AM,2022,06,03,10,40.4,113,Unhealthy for Sensitive Groups,35.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 11:00 AM,2022,06,03,11,37.3,105,Unhealthy for Sensitive Groups,33.5,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 12:00 PM,2022,06,03,12,27.6,84,Moderate,18.3,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 01:00 PM,2022,06,03,13,23.6,75,Moderate,19.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 02:00 PM,2022,06,03,14,19.8,67,Moderate,16.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-06-03 03:00 PM,2022,06,03,15,17.4,62,Moderate,15.0,UG/M3,1 Hr,Valid
