Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Tijuana,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,51.0,139,Unhealthy for Sensitive Groups,54.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,56.0,151,Unhealthy,61.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,48.1,132,Unhealthy for Sensitive Groups,40.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,46.2,127,Unhealthy for Sensitive Groups,44.4,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,41.7,116,Unhealthy for Sensitive Groups,37.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,34.1,97,Moderate,26.5,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,34.5,98,Moderate,34.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,32.9,95,Moderate,31.4,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,32.0,93,Moderate,31.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,24.6,77,Moderate,17.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,17.3,62,Moderate,10.1,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,13.6,54,Moderate,10.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,10.5,44,Good,7.4,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,7.9,33,Good,5.4,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,6.8,28,Good,5.6,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,6.7,28,Good,6.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,6.7,28,Good,6.8,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,7.0,29,Good,7.2,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,8.0,33,Good,9.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,7.8,33,Good,7.7,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,11.3,47,Good,14.9,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,17.6,63,Moderate,23.8,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,14.0,55,Moderate,10.4,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,11.5,48,Good,9.0,UG/M3,1 Hr,Valid
Tijuana,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,10.1,42,Good,8.7,UG/M3,1 Hr,Valid
