Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,2016-11-01 02:00 AM,2016,11,01,02,118.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 03:00 AM,2016,11,01,03,88.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 04:00 AM,2016,11,01,04,90.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 05:00 AM,2016,11,01,05,70.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 06:00 AM,2016,11,01,06,51.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 07:00 AM,2016,11,01,07,117.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 08:00 AM,2016,11,01,08,66.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 09:00 AM,2016,11,01,09,221.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 10:00 AM,2016,11,01,10,290.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 11:00 AM,2016,11,01,11,173.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 12:00 PM,2016,11,01,12,70.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 01:00 PM,2016,11,01,13,51.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 02:00 PM,2016,11,01,14,40.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 03:00 PM,2016,11,01,15,18.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 04:00 PM,2016,11,01,16,15.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 05:00 PM,2016,11,01,17,15.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 06:00 PM,2016,11,01,18,11.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 07:00 PM,2016,11,01,19,13.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 08:00 PM,2016,11,01,20,23.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 09:00 PM,2016,11,01,21,133.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 10:00 PM,2016,11,01,22,252.0,,,,,,,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-11-01 11:00 PM,2016,11,01,23,168.0,,,,,,,UG/M3,1 Hr,Valid
