Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,2016-02-01 09:00 AM,2016,02,01,09,392.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 10:00 AM,2016,02,01,10,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 11:00 AM,2016,02,01,11,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 12:00 PM,2016,02,01,12,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 01:00 PM,2016,02,01,13,89.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 02:00 PM,2016,02,01,14,69.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 03:00 PM,2016,02,01,15,71.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 04:00 PM,2016,02,01,16,78.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 05:00 PM,2016,02,01,17,78.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 06:00 PM,2016,02,01,18,67.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 07:00 PM,2016,02,01,19,78.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 08:00 PM,2016,02,01,20,138.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 09:00 PM,2016,02,01,21,404.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 10:00 PM,2016,02,01,22,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-01 11:00 PM,2016,02,01,23,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 12:00 AM,2016,02,02,00,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 01:00 AM,2016,02,02,01,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 02:00 AM,2016,02,02,02,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 03:00 AM,2016,02,02,03,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 04:00 AM,2016,02,02,04,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 05:00 AM,2016,02,02,05,995.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 06:00 AM,2016,02,02,06,237.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 07:00 AM,2016,02,02,07,309.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 08:00 AM,2016,02,02,08,135.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 09:00 AM,2016,02,02,09,383.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 10:00 AM,2016,02,02,10,150.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 11:00 AM,2016,02,02,11,213.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 12:00 PM,2016,02,02,12,275.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 01:00 PM,2016,02,02,13,136.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 02:00 PM,2016,02,02,14,114.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 03:00 PM,2016,02,02,15,98.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 04:00 PM,2016,02,02,16,178.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 05:00 PM,2016,02,02,17,111.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 06:00 PM,2016,02,02,18,92.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 07:00 PM,2016,02,02,19,103.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 08:00 PM,2016,02,02,20,130.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2016-02-02 09:00 PM,2016,02,02,21,164.0,UG/M3,1 Hr,Valid
