Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,180,4,110.9,174.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,175,4,102.2,128.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,175,4,102.2,106.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,175,4,101.2,69.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,174,4,99.8,41.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,173,4,97.5,39.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,171,4,94.0,27.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,170,4,93.1,17.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,166,4,84.3,18.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,161,4,75.2,24.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,165,4,81.7,28.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,166,4,84.2,41.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,166,4,84.6,55.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,168,4,88.8,57.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,174,4,99.7,34.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,181,4,112.8,22.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,187,4,125.0,13.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,191,4,133.0,23.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,194,4,139.5,70.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,199,4,148.7,42.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,208,5,157.7,95.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,222,5,171.6,297.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,228,5,178.0,354.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,235,5,184.8,258.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,242,5,191.7,275.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,242,5,192.2,389.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,244,5,193.9,420.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,245,5,194.8,363.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,247,5,197.0,233.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,252,5,201.9,193.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,255,5,205.2,248.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,257,5,206.8,235.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,265,5,215.1,350.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,271,5,221.4,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,267,5,217.2,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,-999,-999,-999.0,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,-999,-999,-999.0,66.0,UG/M3,1 Hr,Valid
