Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,2017-02-01 01:00 AM,2017,02,01,01,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 02:00 AM,2017,02,01,02,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 03:00 AM,2017,02,01,03,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 04:00 AM,2017,02,01,04,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 05:00 AM,2017,02,01,05,-999.0,-999,N/A,398.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 06:00 AM,2017,02,01,06,350.0,400,Hazardous,327.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 07:00 AM,2017,02,01,07,350.1,400,Hazardous,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 08:00 AM,2017,02,01,08,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 09:00 AM,2017,02,01,09,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 10:00 AM,2017,02,01,10,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 11:00 AM,2017,02,01,11,-999.0,-999,N/A,195.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 12:00 PM,2017,02,01,12,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 01:00 PM,2017,02,01,13,154.4,205,Very Unhealthy,142.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 02:00 PM,2017,02,01,14,128.4,189,Unhealthy,112.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 03:00 PM,2017,02,01,15,101.1,175,Unhealthy,79.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 04:00 PM,2017,02,01,16,90.6,169,Unhealthy,81.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 05:00 PM,2017,02,01,17,88.2,168,Unhealthy,86.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 06:00 PM,2017,02,01,18,86.0,167,Unhealthy,84.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 07:00 PM,2017,02,01,19,86.0,167,Unhealthy,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 08:00 PM,2017,02,01,20,133.5,191,Unhealthy,157.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 09:00 PM,2017,02,01,21,225.3,275,Very Unhealthy,294.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 10:00 PM,2017,02,01,22,225.7,276,Very Unhealthy,226.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-01 11:00 PM,2017,02,01,23,225.7,276,Very Unhealthy,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 12:00 AM,2017,02,02,00,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 01:00 AM,2017,02,02,01,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 02:00 AM,2017,02,02,02,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 03:00 AM,2017,02,02,03,-999.0,-999,N/A,271.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 04:00 AM,2017,02,02,04,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 05:00 AM,2017,02,02,05,361.5,408,Hazardous,386.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 06:00 AM,2017,02,02,06,347.7,397,Hazardous,339.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 07:00 AM,2017,02,02,07,345.1,395,Hazardous,343.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 08:00 AM,2017,02,02,08,344.3,394,Hazardous,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 09:00 AM,2017,02,02,09,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 10:00 AM,2017,02,02,10,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 11:00 AM,2017,02,02,11,-999.0,-999,N/A,985.0,UG/M3,1 Hr,Invalid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 12:00 PM,2017,02,02,12,-999.0,-999,N/A,131.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 01:00 PM,2017,02,02,13,80.6,164,Unhealthy,48.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 02:00 PM,2017,02,02,14,54.2,147,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 03:00 PM,2017,02,02,15,43.4,120,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 04:00 PM,2017,02,02,16,42.1,117,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 05:00 PM,2017,02,02,17,39.5,111,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,2017-02-02 06:00 PM,2017,02,02,18,39.7,111,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
