Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Vientiane,PM2.5 - Principal,2020-08-25 05:00 AM,2020,08,25,05,-999.0,-999,N/A,3.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 06:00 AM,2020,08,25,06,5.6,23,Good,7.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 07:00 AM,2020,08,25,07,5.8,24,Good,6.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 08:00 AM,2020,08,25,08,5.9,25,Good,6.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 09:00 AM,2020,08,25,09,5.4,23,Good,5.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 10:00 AM,2020,08,25,10,5.7,24,Good,6.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 11:00 AM,2020,08,25,11,4.8,20,Good,4.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 12:00 PM,2020,08,25,12,2.9,12,Good,1.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 01:00 PM,2020,08,25,13,3.4,14,Good,4.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 02:00 PM,2020,08,25,14,3.2,13,Good,3.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 03:00 PM,2020,08,25,15,2.1,9,Good,1.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 04:00 PM,2020,08,25,16,2.5,10,Good,3.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 05:00 PM,2020,08,25,17,3.2,13,Good,4.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 06:00 PM,2020,08,25,18,3.1,13,Good,3.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 07:00 PM,2020,08,25,19,7.5,31,Good,12.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 08:00 PM,2020,08,25,20,16.7,61,Moderate,26.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 09:00 PM,2020,08,25,21,22.3,72,Moderate,28.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 10:00 PM,2020,08,25,22,24.7,77,Moderate,27.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-25 11:00 PM,2020,08,25,23,20.8,69,Moderate,17.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 12:00 AM,2020,08,26,00,11.4,48,Good,2.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 01:00 AM,2020,08,26,01,8.2,34,Good,5.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 02:00 AM,2020,08,26,02,7.1,30,Good,6.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 03:00 AM,2020,08,26,03,6.0,25,Good,5.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 04:00 AM,2020,08,26,04,4.0,17,Good,2.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 05:00 AM,2020,08,26,05,6.5,27,Good,9.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 06:00 AM,2020,08,26,06,7.7,32,Good,9.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 07:00 AM,2020,08,26,07,8.3,35,Good,9.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 08:00 AM,2020,08,26,08,8.1,34,Good,8.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2020-08-26 09:00 AM,2020,08,26,09,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
