Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Vientiane,PM2.5 - Principal,2025-01-01 01:00 AM,2025,01,01,01,32.5,95,Moderate,37.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 02:00 AM,2025,01,01,02,31.2,92,Moderate,30.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 03:00 AM,2025,01,01,03,34.6,99,Moderate,38.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 04:00 AM,2025,01,01,04,40.8,114,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 05:00 AM,2025,01,01,05,42.4,118,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 06:00 AM,2025,01,01,06,43.7,121,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 07:00 AM,2025,01,01,07,45.3,125,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 08:00 AM,2025,01,01,08,50.1,137,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 09:00 AM,2025,01,01,09,47.0,129,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 10:00 AM,2025,01,01,10,40.0,112,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 11:00 AM,2025,01,01,11,36.7,104,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 12:00 PM,2025,01,01,12,30.5,91,Moderate,25.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 01:00 PM,2025,01,01,13,27.2,85,Moderate,24.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 02:00 PM,2025,01,01,14,25.6,82,Moderate,24.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-01 03:00 PM,2025,01,01,15,25.6,82,Moderate,-999.0,UG/M3,1 Hr,Missing
Vientiane,PM2.5 - Principal,2025-01-06 12:00 PM,2025,01,06,12,-999.0,-999,N/A,42.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 01:00 PM,2025,01,06,13,39.3,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 02:00 PM,2025,01,06,14,39.9,112,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 03:00 PM,2025,01,06,15,41.9,117,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 04:00 PM,2025,01,06,16,40.8,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 05:00 PM,2025,01,06,17,40.5,113,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 06:00 PM,2025,01,06,18,42.6,118,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 07:00 PM,2025,01,06,19,63.6,157,Unhealthy,83.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 08:00 PM,2025,01,06,20,81.3,169,Unhealthy,99.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 09:00 PM,2025,01,06,21,101.2,183,Unhealthy,121.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 10:00 PM,2025,01,06,22,110.1,189,Unhealthy,119.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-06 11:00 PM,2025,01,06,23,111.5,190,Unhealthy,113.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 12:00 AM,2025,01,07,00,116.7,194,Unhealthy,122.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 01:00 AM,2025,01,07,01,123.9,199,Unhealthy,131.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 02:00 AM,2025,01,07,02,115.9,193,Unhealthy,108.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 03:00 AM,2025,01,07,03,95.4,179,Unhealthy,75.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 04:00 AM,2025,01,07,04,86.2,173,Unhealthy,77.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 05:00 AM,2025,01,07,05,98.6,181,Unhealthy,111.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 06:00 AM,2025,01,07,06,106.9,187,Unhealthy,118.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 07:00 AM,2025,01,07,07,104.4,185,Unhealthy,101.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 08:00 AM,2025,01,07,08,108.5,188,Unhealthy,114.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 09:00 AM,2025,01,07,09,94.1,178,Unhealthy,75.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 10:00 AM,2025,01,07,10,71.0,162,Unhealthy,50.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 11:00 AM,2025,01,07,11,54.5,148,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 12:00 PM,2025,01,07,12,46.2,127,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 01:00 PM,2025,01,07,13,40.1,112,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 02:00 PM,2025,01,07,14,36.0,102,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 03:00 PM,2025,01,07,15,35.0,99,Moderate,34.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 04:00 PM,2025,01,07,16,31.0,92,Moderate,27.0,UG/M3,1 Hr,Valid
Vientiane,PM2.5 - Principal,2025-01-07 05:00 PM,2025,01,07,17,31.4,93,Moderate,32.0,UG/M3,1 Hr,Valid
