Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Yerevan,PM2.5 - Principal,2023-01-23 07:00 PM,2023,01,23,19,-999.0,-999,N/A,1.2,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-23 08:00 PM,2023,01,23,20,1.7,7,Good,2.0,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-23 09:00 PM,2023,01,23,21,2.1,9,Good,2.4,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-23 10:00 PM,2023,01,23,22,2.3,10,Good,2.4,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-23 11:00 PM,2023,01,23,23,2.2,9,Good,2.1,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 12:00 AM,2023,01,24,00,2.2,9,Good,2.3,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 01:00 AM,2023,01,24,01,2.1,9,Good,1.9,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 02:00 AM,2023,01,24,02,2.0,8,Good,1.9,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 03:00 AM,2023,01,24,03,1.6,7,Good,1.3,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 04:00 AM,2023,01,24,04,1.5,6,Good,1.3,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 05:00 AM,2023,01,24,05,1.2,5,Good,1.0,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 06:00 AM,2023,01,24,06,1.0,4,Good,0.8,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 07:00 AM,2023,01,24,07,1.0,4,Good,0.9,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 08:00 AM,2023,01,24,08,1.0,4,Good,1.0,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 09:00 AM,2023,01,24,09,1.1,5,Good,1.2,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 10:00 AM,2023,01,24,10,1.3,5,Good,1.6,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 11:00 AM,2023,01,24,11,1.7,7,Good,2.0,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 12:00 PM,2023,01,24,12,1.6,7,Good,1.4,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 01:00 PM,2023,01,24,13,1.6,7,Good,-999.0,UG/M3,1 Hr,Missing
Yerevan,PM2.5 - Principal,2023-01-24 04:00 PM,2023,01,24,16,-999.0,-999,N/A,31.9,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 05:00 PM,2023,01,24,17,34.5,98,Moderate,37.9,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 06:00 PM,2023,01,24,18,36.8,104,Unhealthy for Sensitive Groups,38.6,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 07:00 PM,2023,01,24,19,41.0,115,Unhealthy for Sensitive Groups,44.8,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 08:00 PM,2023,01,24,20,48.1,132,Unhealthy for Sensitive Groups,54.8,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 09:00 PM,2023,01,24,21,69.2,158,Unhealthy,89.7,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 10:00 PM,2023,01,24,22,74.6,161,Unhealthy,79.9,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-24 11:00 PM,2023,01,24,23,84.9,166,Unhealthy,95.1,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 12:00 AM,2023,01,25,00,87.3,167,Unhealthy,89.7,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 01:00 AM,2023,01,25,01,85.1,166,Unhealthy,82.8,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 02:00 AM,2023,01,25,02,84.3,166,Unhealthy,83.5,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 03:00 AM,2023,01,25,03,81.1,164,Unhealthy,77.9,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 04:00 AM,2023,01,25,04,75.6,161,Unhealthy,70.1,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 05:00 AM,2023,01,25,05,64.5,156,Unhealthy,53.5,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 06:00 AM,2023,01,25,06,59.3,153,Unhealthy,54.1,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 07:00 AM,2023,01,25,07,54.4,148,Unhealthy for Sensitive Groups,48.8,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 08:00 AM,2023,01,25,08,51.8,141,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 09:00 AM,2023,01,25,09,55.3,150,Unhealthy for Sensitive Groups,59.1,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 10:00 AM,2023,01,25,10,61.1,154,Unhealthy,67.1,UG/M3,1 Hr,Valid
Yerevan,PM2.5 - Principal,2023-01-25 11:00 AM,2023,01,25,11,70.0,158,Unhealthy,81.1,UG/M3,1 Hr,Valid
